path,old_code,new_code,action,split,doc_split
ThaiCharacter Dataset/round2/162/bc_009sg_1_25.jpg,162,170.0,move,train,train
ThaiCharacter Dataset/round2/162/bl_008sg_3_334.jpg,162,171.0,move,val,train
ThaiCharacter Dataset/round2/170/bl_011sg_3_7.jpg,170,171.0,move,train,train
ThaiCharacter Dataset/round2/180/be_002sg_9_226.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_003sg_9_177.jpg,180,181.0,move,train,val
ThaiCharacter Dataset/round2/180/be_007sg_4_191.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_007sg_7_311.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_007tg_3_127.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_007tg_4_278.jpg,180,181.0,move,val,train
ThaiCharacter Dataset/round2/180/be_007tg_6_190.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_007tg_6_192.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_007tg_6_347.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_008tg_5_130.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_018sg_3_129.jpg,180,181.0,move,train,train
ThaiCharacter Dataset/round2/180/be_018sg_3_28.jpg,180,181.0,move,val,train
ThaiCharacter Dataset/round2/181/bc_011sg_6_125.jpg,181,164.0,move,val,train
ThaiCharacter Dataset/round2/181/bc_017sg_5_130.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_002sg_7_156.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_002sg_9_37.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_006sg_1_62.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_007sg_5_18.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_007sg_7_34.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_011sg_1_42.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_011sg_2_330.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_012sg_4_229.jpg,181,180.0,move,val,train
ThaiCharacter Dataset/round2/181/be_013tg_3_23.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_014sg_2_483.jpg,181,180.0,move,train,val
ThaiCharacter Dataset/round2/181/be_014sg_3_48.jpg,181,180.0,move,train,val
ThaiCharacter Dataset/round2/181/be_015sg_1_106.jpg,181,180.0,move,val,train
ThaiCharacter Dataset/round2/181/be_015sg_2_152.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_015sg_2_173.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_018sg_6_2.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/be_018sg_8_13.jpg,181,180.0,move,train,train
ThaiCharacter Dataset/round2/181/bl_007tg_8_394.jpg,181,164.0,move,train,train
ThaiCharacter Dataset/round2/181/bl_009sg_3_118.jpg,181,164.0,move,train,train
ThaiCharacter Dataset/round2/181/bl_011sg_4_338.jpg,181,164.0,move,train,train
ThaiCharacter Dataset/round2/181/bl_011tg_4_198.jpg,181,164.0,move,val,train
ThaiCharacter Dataset/round2/181/bl_011tg_4_298.jpg,181,164.0,move,train,train
ThaiCharacter Dataset/round2/186/be_013sg_1_358.jpg,186,185.0,move,train,train
ThaiCharacter Dataset/round2/187/bc_004tg_3_442.jpg,187,170.0,move,train,train
ThaiCharacter Dataset/round2/199/be_011sg_1_127.jpg,199,209.0,move,train,train
ThaiCharacter Dataset/round2/199/bl_005sg_11_9.jpg,199,240.0,move,train,train
ThaiCharacter Dataset/round2/210/bc_004sg_3_106.jpg,210,168.0,move,train,train
ThaiCharacter Dataset/round2/210/bc_004sg_3_25.jpg,210,230.0,move,val,train
ThaiCharacter Dataset/round2/210/bc_005sg_8_17.jpg,210,168.0,move,val,train
ThaiCharacter Dataset/round2/210/bc_007sg_5_153.jpg,210,168.0,move,train,train
ThaiCharacter Dataset/round2/210/bc_007sg_6_155.jpg,210,230.0,move,val,train
ThaiCharacter Dataset/round2/210/bc_008sg_1_113.jpg,210,195.0,move,train,train
ThaiCharacter Dataset/round2/210/bc_009sg_2_246.jpg,210,168.0,move,train,train
