path,label,true_char,pred,pred_char,p_true,p_pred,margin,fold
ThaiCharacter Dataset/round2/168/be_013tg_1_308.jpg,5,จ,1,ข,0.00264,0.9473,0.945,2
ThaiCharacter Dataset/round2/195/be_017sg_5_34.jpg,30,ร,28,ม,0.0007615,0.943,0.942,0
ThaiCharacter Dataset/round2/209/bc_002tg_8_255.jpg,42,ั,59,้,0.01607,0.956,0.94,2
ThaiCharacter Dataset/round2/195/bl_004sg_10_14.jpg,30,ร,19,ธ,0.00416,0.9375,0.933,4
ThaiCharacter Dataset/round2/168/bc_019sg_5_93.jpg,5,จ,6,ฉ,0.000791,0.934,0.933,0
ThaiCharacter Dataset/round2/197/bl_002sg_7_153.jpg,32,ล,62,๐,0.002409,0.935,0.9326,3
ThaiCharacter Dataset/round2/186/be_020sg_2_343.jpg,21,บ,35,ษ,0.00405,0.935,0.931,2
ThaiCharacter Dataset/round2/209/be_012sg_4_487.jpg,42,ั,59,้,0.00077,0.9277,0.927,1
ThaiCharacter Dataset/round2/185/be_007sg_3_86.jpg,20,น,28,ม,0.00203,0.9277,0.926,2
ThaiCharacter Dataset/round2/205/bl_008sg_3_172.jpg,39,อ,32,ล,0.001405,0.927,0.9253,2
ThaiCharacter Dataset/round2/210/bc_020tg_4_28.jpg,43,า,5,จ,0.000553,0.925,0.9243,0
ThaiCharacter Dataset/round2/164/be_017sg_4_421.jpg,3,ค,15,ด,0.001153,0.925,0.924,2
ThaiCharacter Dataset/round2/205/bl_007sg_2_27.jpg,39,อ,29,ย,0.004498,0.927,0.9224,0
ThaiCharacter Dataset/round2/170/bc_016tg_7_133.jpg,7,ช,1,ข,0.003057,0.9243,0.9214,2
ThaiCharacter Dataset/round2/164/bl_009sg_3_314.jpg,3,ค,16,ต,0.001291,0.922,0.9204,1
ThaiCharacter Dataset/round2/194/be_018tg_11_26.jpg,29,ย,35,ษ,0.0048,0.925,0.92,3
ThaiCharacter Dataset/round2/170/be_012sg_3_349.jpg,7,ช,8,ซ,0.00196,0.921,0.919,1
ThaiCharacter Dataset/round2/210/bl_004sg_10_1.jpg,43,า,33,ว,0.001682,0.92,0.9185,2
ThaiCharacter Dataset/round2/180/bc_020sg_3_147.jpg,15,ด,3,ค,0.003286,0.922,0.9185,1
ThaiCharacter Dataset/round2/182/be_015sg_1_278.jpg,17,ถ,32,ล,0.0009723,0.9194,0.9185,1
ThaiCharacter Dataset/round2/161/be_004sg_7_328.jpg,0,ก,27,ภ,0.002848,0.9194,0.9165,2
ThaiCharacter Dataset/round2/164/bc_014sg_2_26.jpg,3,ค,15,ด,0.0008044,0.9175,0.9165,3
ThaiCharacter Dataset/round2/193/bl_005tg_3_58.jpg,28,ม,59,้,0.0009775,0.9165,0.9155,2
ThaiCharacter Dataset/round2/171/bl_001sg_9_115.jpg,8,ซ,7,ช,0.003756,0.9194,0.9155,3
ThaiCharacter Dataset/round2/228/bc_020tg_3_365.jpg,54,ไ,53,ใ,0.001669,0.9165,0.915,2
ThaiCharacter Dataset/round2/183/be_009sg_4_263.jpg,18,ท,25,พ,0.003548,0.9165,0.913,1
ThaiCharacter Dataset/round2/226/be_004sg_4_137.jpg,52,โ,43,า,0.001208,0.914,0.913,3
ThaiCharacter Dataset/round2/193/bc_005sg_4_239.jpg,28,ม,21,บ,0.0031,0.915,0.912,4
ThaiCharacter Dataset/round2/180/bl_009sg_3_400.jpg,15,ด,3,ค,0.001526,0.9136,0.912,3
ThaiCharacter Dataset/round2/194/be_019sg_4_32.jpg,29,ย,35,ษ,0.005585,0.9175,0.912,3
ThaiCharacter Dataset/round2/186/be_018sg_6_37.jpg,21,บ,28,ม,0.003002,0.914,0.911,2
ThaiCharacter Dataset/round2/209/bc_016tg_3_327.jpg,42,ั,59,้,0.02907,0.9404,0.911,2
ThaiCharacter Dataset/round2/227/be_006sg_4_3.jpg,53,ใ,52,โ,0.002953,0.9136,0.9106,1
ThaiCharacter Dataset/round2/210/be_017tg_5_38.jpg,28,ม,30,ร,0.001699,0.9116,0.91,1
ThaiCharacter Dataset/round2/185/be_014sg_3_134.jpg,20,น,28,ม,0.004402,0.914,0.9097,4
ThaiCharacter Dataset/round2/170/be_008sg_4_95.jpg,7,ช,8,ซ,0.008156,0.9175,0.909,3
ThaiCharacter Dataset/round2/180/bc_019tg_6_279.jpg,15,ด,3,ค,0.0009556,0.91,0.909,2
ThaiCharacter Dataset/round2/233/bc_014sg_3_357.jpg,59,้,42,ั,0.001401,0.91,0.9087,2
ThaiCharacter Dataset/round2/186/be_008tg_7_78.jpg,21,บ,20,น,0.002766,0.911,0.908,2
ThaiCharacter Dataset/round2/180/be_019sg_8_131.jpg,15,ด,16,ต,0.005833,0.914,0.908,2
ThaiCharacter Dataset/round2/203/bc_004tg_4_312.jpg,37,ห,18,ท,0.001784,0.91,0.908,4
ThaiCharacter Dataset/round2/186/be_008sg_7_87.jpg,21,บ,28,ม,0.00281,0.911,0.908,3
ThaiCharacter Dataset/round2/210/bc_019sg_6_230.jpg,43,า,30,ร,0.00881,0.9165,0.9077,0
ThaiCharacter Dataset/round2/193/bl_010sg_6_335.jpg,28,ม,21,บ,0.006203,0.9136,0.907,2
ThaiCharacter Dataset/round2/193/bc_012sg_4_85.jpg,28,ม,59,้,0.001959,0.909,0.907,3
ThaiCharacter Dataset/round2/227/bc_002sg_5_200.jpg,53,ใ,52,โ,0.003195,0.91,0.9067,1
