font,code,char,is_mark,is_upper_mark,in_cmap,blank,looks_notdef,ok
Anuphan[wght],161,ก,False,False,True,False,False,True
Anuphan[wght],162,ข,False,False,True,False,False,True
Anuphan[wght],163,ฃ,False,False,True,False,False,True
Anuphan[wght],164,ค,False,False,True,False,False,True
Anuphan[wght],167,ง,False,False,True,False,False,True
Anuphan[wght],168,จ,False,False,True,False,False,True
Anuphan[wght],169,ฉ,False,False,True,False,False,True
Anuphan[wght],170,ช,False,False,True,False,False,True
Anuphan[wght],171,ซ,False,False,True,False,False,True
Anuphan[wght],173,ญ,False,False,True,False,False,True
Anuphan[wght],175,ฏ,False,False,True,False,False,True
Anuphan[wght],176,ฐ,False,False,True,False,False,True
Anuphan[wght],177,ฑ,False,False,True,False,False,True
Anuphan[wght],178,ฒ,False,False,True,False,False,True
Anuphan[wght],179,ณ,False,False,True,False,False,True
Anuphan[wght],180,ด,False,False,True,False,False,True
Anuphan[wght],181,ต,False,False,True,False,False,True
Anuphan[wght],182,ถ,False,False,True,False,False,True
Anuphan[wght],183,ท,False,False,True,False,False,True
Anuphan[wght],184,ธ,False,False,True,False,False,True
Anuphan[wght],185,น,False,False,True,False,False,True
Anuphan[wght],186,บ,False,False,True,False,False,True
Anuphan[wght],187,ป,False,False,True,False,False,True
Anuphan[wght],188,ผ,False,False,True,False,False,True
Anuphan[wght],189,ฝ,False,False,True,False,False,True
Anuphan[wght],190,พ,False,False,True,False,False,True
Anuphan[wght],191,ฟ,False,False,True,False,False,True
Anuphan[wght],192,ภ,False,False,True,False,False,True
Anuphan[wght],193,ม,False,False,True,False,False,True
Anuphan[wght],194,ย,False,False,True,False,False,True
Anuphan[wght],195,ร,False,False,True,False,False,True
Anuphan[wght],196,ฤ,False,False,True,False,False,True
Anuphan[wght],197,ล,False,False,True,False,False,True
Anuphan[wght],199,ว,False,False,True,False,False,True
Anuphan[wght],200,ศ,False,False,True,False,False,True
Anuphan[wght],201,ษ,False,False,True,False,False,True
Anuphan[wght],202,ส,False,False,True,False,False,True
Anuphan[wght],203,ห,False,False,True,False,False,True
Anuphan[wght],204,ฬ,False,False,True,False,False,True
Anuphan[wght],205,อ,False,False,True,False,False,True
