font,n_ok,n_missing_cmap,n_notdef,n_blank,n_bad
Anuphan[wght],72,0,0,0,0
Athiti-Bold,72,0,0,0,0
Athiti-ExtraLight,72,0,0,0,0
Athiti-Light,72,0,0,0,0
Athiti-Medium,72,0,0,0,0
Athiti-Regular,72,0,0,0,0
Athiti-SemiBold,72,0,0,0,0
BaiJamjuree-Bold,72,0,0,0,0
BaiJamjuree-ExtraLight,72,0,0,0,0
BaiJamjuree-Light,72,0,0,0,0
BaiJamjuree-Medium,72,0,0,0,0
BaiJamjuree-Regular,72,0,0,0,0
BaiJamjuree-SemiBold,72,0,0,0,0
ChakraPetch-Bold,72,0,0,0,0
ChakraPetch-ExtraLight,72,0,0,0,0
ChakraPetch-Light,72,0,0,0,0
ChakraPetch-Medium,72,0,0,0,0
ChakraPetch-Regular,72,0,0,0,0
ChakraPetch-SemiBold,72,0,0,0,0
Charm-Bold,72,0,0,0,0
Charm-Regular,72,0,0,0,0
Charmonman-Bold,72,0,0,0,0
Charmonman-Regular,72,0,0,0,0
Chonburi-Regular,72,0,0,0,0
Fahkwang-Bold,72,0,0,0,0
Fahkwang-ExtraLight,72,0,0,0,0
Fahkwang-Light,72,0,0,0,0
Fahkwang-Medium,72,0,0,0,0
Fahkwang-Regular,72,0,0,0,0
Fahkwang-SemiBold,72,0,0,0,0
IBMPlexSansThai-Bold,72,0,0,0,0
IBMPlexSansThai-ExtraLight,72,0,0,0,0
IBMPlexSansThai-Light,72,0,0,0,0
IBMPlexSansThai-Medium,72,0,0,0,0
IBMPlexSansThai-Regular,72,0,0,0,0
IBMPlexSansThai-SemiBold,72,0,0,0,0
IBMPlexSansThai-Thin,72,0,0,0,0
IBMPlexSansThaiLooped-Bold,72,0,0,0,0
IBMPlexSansThaiLooped-ExtraLight,72,0,0,0,0
IBMPlexSansThaiLooped-Light,72,0,0,0,0
IBMPlexSansThaiLooped-Medium,72,0,0,0,0
IBMPlexSansThaiLooped-Regular,72,0,0,0,0
IBMPlexSansThaiLooped-SemiBold,72,0,0,0,0
IBMPlexSansThaiLooped-Thin,72,0,0,0,0
Itim-Regular,72,0,0,0,0
K2D-Bold,72,0,0,0,0
K2D-ExtraBold,72,0,0,0,0
K2D-ExtraLight,72,0,0,0,0
K2D-Light,72,0,0,0,0
K2D-Medium,72,0,0,0,0
K2D-Regular,72,0,0,0,0
K2D-SemiBold,72,0,0,0,0
K2D-Thin,72,0,0,0,0
Kanit-Black,72,0,0,0,0
Kanit-BlackItalic,72,0,0,0,0
Kanit-Bold,72,0,0,0,0
Kanit-BoldItalic,72,0,0,0,0
Kanit-ExtraBold,72,0,0,0,0
Kanit-ExtraBoldItalic,72,0,0,0,0
Kanit-ExtraLight,72,0,0,0,0
Kanit-ExtraLightItalic,72,0,0,0,0
Kanit-Italic,72,0,0,0,0
Kanit-Light,72,0,0,0,0
Kanit-LightItalic,72,0,0,0,0
Kanit-Medium,72,0,0,0,0
Kanit-MediumItalic,72,0,0,0,0
Kanit-Regular,72,0,0,0,0
Kanit-SemiBold,72,0,0,0,0
Kanit-SemiBoldItalic,72,0,0,0,0
Kanit-Thin,72,0,0,0,0
Kanit-ThinItalic,72,0,0,0,0
KoHo-Bold,72,0,0,0,0
KoHo-ExtraLight,72,0,0,0,0
KoHo-Light,72,0,0,0,0
KoHo-Medium,72,0,0,0,0
KoHo-Regular,72,0,0,0,0
KoHo-SemiBold,72,0,0,0,0
Kodchasan-Bold,72,0,0,0,0
Kodchasan-ExtraLight,72,0,0,0,0
Kodchasan-Light,72,0,0,0,0
Kodchasan-Medium,72,0,0,0,0
Kodchasan-Regular,72,0,0,0,0
Kodchasan-SemiBold,72,0,0,0,0
Krub-Bold,72,0,0,0,0
Krub-ExtraLight,72,0,0,0,0
Krub-Light,72,0,0,0,0
Krub-Medium,72,0,0,0,0
Krub-Regular,72,0,0,0,0
Krub-SemiBold,72,0,0,0,0
LeelaUIb,72,0,0,0,0
LeelawUI,72,0,0,0,0
Maitree-Bold,72,0,0,0,0
Maitree-ExtraLight,72,0,0,0,0
Maitree-Light,72,0,0,0,0
Maitree-Medium,72,0,0,0,0
Maitree-Regular,72,0,0,0,0
Maitree-SemiBold,72,0,0,0,0
Mali-Bold,72,0,0,0,0
Mali-ExtraLight,72,0,0,0,0
Mali-Light,72,0,0,0,0
Mali-Medium,72,0,0,0,0
Mali-Regular,72,0,0,0,0
Mali-SemiBold,72,0,0,0,0
Mitr-Bold,72,0,0,0,0
Mitr-ExtraLight,72,0,0,0,0
Mitr-Light,72,0,0,0,0
Mitr-Medium,72,0,0,0,0
Mitr-Regular,72,0,0,0,0
Mitr-SemiBold,72,0,0,0,0
Niramit-Bold,72,0,0,0,0
Niramit-ExtraLight,72,0,0,0,0
Niramit-Light,72,0,0,0,0
