code,char,unicode_name,category,n_files,n_ok,n_unique_md5,n_groups,med_w,med_h,med_aspect,min_w,max_w,min_h,max_h,mean_ink_frac,share_pct,n_train_80,n_val_20
161,ก,THAI CHARACTER KO KAI,consonant,1951,1951,1934,25,16.0,21.0,0.7619,8,32,13,41,0.423758,3.1113,1561,390
162,ข,THAI CHARACTER KHO KHAI,consonant,1355,1355,1348,50,15.0,20.0,0.75,7,36,7,41,0.465355,2.1608,1084,271
163,ฃ,THAI CHARACTER KHO KHUAT,consonant,1,1,1,1,13.0,15.0,0.8667,13,13,15,15,0.482051,0.0016,1,0
164,ค,THAI CHARACTER KHO KHWAI,consonant,1448,1448,1443,49,16.5,21.0,0.7857,9,54,13,42,0.466844,2.3092,1158,290
167,ง,THAI CHARACTER NGO NGU,consonant,1078,1078,1069,20,12.0,18.0,0.6667,6,31,11,41,0.438138,1.7191,862,216
168,จ,THAI CHARACTER CHO CHAN,consonant,1202,1202,1201,49,14.0,20.0,0.7,5,24,8,40,0.463692,1.9169,962,240
169,ฉ,THAI CHARACTER CHO CHING,consonant,43,43,43,11,18.0,20.0,0.9,11,26,14,31,0.459011,0.0686,34,9
170,ช,THAI CHARACTER CHO CHANG,consonant,1013,1013,1013,50,17.0,20.0,0.85,8,53,13,41,0.420569,1.6154,810,203
171,ซ,THAI CHARACTER SO SO,consonant,295,295,295,39,20.0,22.0,0.9091,10,56,13,41,0.417835,0.4704,236,59
173,ญ,THAI CHARACTER YO YING,consonant,113,113,113,26,25.0,21.0,1.1905,14,37,14,31,0.432723,0.1802,90,23
175,ฏ,THAI CHARACTER TO PATAK,consonant,32,32,32,7,16.5,29.5,0.5593,11,23,20,41,0.444493,0.051,26,6
176,ฐ,THAI CHARACTER THO THAN,consonant,118,118,118,20,14.0,22.0,0.6364,8,28,14,40,0.47256,0.1882,94,24
177,ฑ,THAI CHARACTER THO NANGMONTHO,consonant,1,1,1,1,15.0,13.0,1.1538,15,15,13,13,0.512821,0.0016,1,0
178,ฒ,THAI CHARACTER THO PHUTHAO,consonant,48,48,48,13,22.0,22.5,0.9778,10,33,14,31,0.494422,0.0765,38,10
179,ณ,THAI CHARACTER NO NEN,consonant,292,292,292,42,25.0,21.0,1.1905,14,49,13,42,0.443692,0.4657,234,58
180,ด,THAI CHARACTER DO DEK,consonant,2025,2025,2016,50,16.0,20.0,0.8,7,34,9,41,0.479197,3.2293,1620,405
181,ต,THAI CHARACTER TO TAO,consonant,1662,1662,1661,51,16.0,20.0,0.8,7,35,10,41,0.485599,2.6504,1330,332
182,ถ,THAI CHARACTER THO THUNG,consonant,435,435,435,45,16.0,21.0,0.7619,8,23,13,31,0.453682,0.6937,348,87
