path,code,char,category,prefix,doc_id,subset,line,idx,is_copy,group,parsed,width,height,mode,bytes,md5,ok,ink_frac,mid_grey_frac,border_mean,phash
ThaiCharacter Dataset/round2/161/bc_001sg_3_118.jpg,161,ก,consonant,bc,1,sg,3,118,False,bc_001,True,12,18,L,610,43065cfee76d3a0fd61f8c890dc5565d,True,0.509259,0.0,150.11,de212127f7f4f090
ThaiCharacter Dataset/round2/161/bc_001sg_3_140.jpg,161,ก,consonant,bc,1,sg,3,140,False,bc_001,True,12,18,L,696,bfdd004f4c71338d9e248ddd6705247d,True,0.467593,0.0,159.12,de21a327e4f4b431
ThaiCharacter Dataset/round2/161/bc_001sg_3_142.jpg,161,ก,consonant,bc,1,sg,3,142,False,bc_001,True,12,18,L,730,c9b8aa3373f0c2e7a75424dc33020134,True,0.5,0.0,163.62,de202135b675f43c
ThaiCharacter Dataset/round2/161/bc_001sg_3_32.jpg,161,ก,consonant,bc,1,sg,3,32,False,bc_001,True,13,18,L,739,2d7ef37f890e0c7c1214958d6aae4d43,True,0.478632,0.0,166.86,de2121e4e671b2d3
ThaiCharacter Dataset/round2/161/bc_001sg_3_42.jpg,161,ก,consonant,bc,1,sg,3,42,False,bc_001,True,13,17,L,644,612588944d63f759d495a3b31ccd3abd,True,0.488688,0.0,177.25,da202525f5f57c70
ThaiCharacter Dataset/round2/161/bc_001sg_3_96.jpg,161,ก,consonant,bc,1,sg,3,96,False,bc_001,True,12,18,L,695,5b008f559e42d2a2712aa2b15b3e2ed7,True,0.476852,0.0,159.07,de21a127e575f031
ThaiCharacter Dataset/round2/161/bc_001sg_8_0.jpg,161,ก,consonant,bc,1,sg,8,0,False,bc_001,True,13,18,L,688,fb1715b61f517d392eaa10d9daa839d6,True,0.5,0.0,158.19,de232325a4f1f2d1
ThaiCharacter Dataset/round2/161/bc_001sg_8_21.jpg,161,ก,consonant,bc,1,sg,8,21,False,bc_001,True,13,17,L,646,d2908350cf57645161c2bd34c28d6868,True,0.488688,0.0,163.8,da232565a475f471
ThaiCharacter Dataset/round2/161/bc_001sg_9_129.jpg,161,ก,consonant,bc,1,sg,9,129,False,bc_001,True,12,18,L,648,9616bd462fe64fbbd6fd81288dc3005a,True,0.5,0.0,154.64,de21a125f475f074
ThaiCharacter Dataset/round2/161/bc_001sg_9_184.jpg,161,ก,consonant,bc,1,sg,9,184,False,bc_001,True,12,17,L,569,618cdbc29e4cff8bda3cabaa144c08bf,True,0.504902,0.0,141.65,de2021a7f5f1f0b0
ThaiCharacter Dataset/round2/161/bc_001sg_9_217.jpg,161,ก,consonant,bc,1,sg,9,217,False,bc_001,True,12,17,L,602,04d3fa4d74044af606cf690085170928,True,0.480392,0.0,141.56,de212127a475bc75
ThaiCharacter Dataset/round2/161/bc_001sg_9_304.jpg,161,ก,consonant,bc,1,sg,9,304,False,bc_001,True,12,17,L,565,fe6a1a6526a4fa1624d2766a8d3ea0f5,True,0.504902,0.0,137.07,de212125ad3cfc74
ThaiCharacter Dataset/round2/161/bc_001sg_9_326.jpg,161,ก,consonant,bc,1,sg,9,326,False,bc_001,True,12,18,L,650,0f292b00116a026cf778efcc5b7b1ba6,True,0.509259,0.0,150.21,de212125e7f4f0f0
ThaiCharacter Dataset/round2/161/bc_001sg_9_365.jpg,161,ก,consonant,bc,1,sg,9,365,False,bc_001,True,12,17,L,562,80ee7475b3ba5c1d9a5df21d22ee30be,True,0.519608,0.0,132.22,de212125b5f4f4f0
ThaiCharacter Dataset/round2/161/bc_001sg_9_373.jpg,161,ก,consonant,bc,1,sg,9,373,False,bc_001,True,13,18,L,681,f014836e6ace8dac2d61ee474420fd78,True,0.482906,0.0,166.9,de2321a1e5f1d2d1
ThaiCharacter Dataset/round2/161/bc_001sg_9_387.jpg,161,ก,consonant,bc,1,sg,9,387,False,bc_001,True,12,18,L,649,77450d0d145df8e4e5c24c3b63d4dfbb,True,0.476852,0.0,163.71,de21a127e4f4f035
ThaiCharacter Dataset/round2/161/bc_001sg_9_390.jpg,161,ก,consonant,bc,1,sg,9,390,False,bc_001,True,13,18,L,749,a3d165f9dd0e8497e84d780891ca38ad,True,0.435897,0.0,201.81,da2121a5f475b2d9
ThaiCharacter Dataset/round2/161/bc_001sg_9_404.jpg,161,ก,consonant,bc,1,sg,9,404,False,bc_001,True,12,17,L,565,189bfe2b1075d291f0121122f230eab0,True,0.52451,0.0,122.72,de2121272dfc7c34
ThaiCharacter Dataset/round2/161/bc_001sg_9_54.jpg,161,ก,consonant,bc,1,sg,9,54,False,bc_001,True,12,17,L,604,602e858067d41bb32264ea7d19ae24fb,True,0.426471,0.0,136.98,de2b2965e4e4b0b1
ThaiCharacter Dataset/round2/161/bc_001sg_9_73.jpg,161,ก,consonant,bc,1,sg,9,73,False,bc_001,True,12,18,L,699,f1745ec08c2832220101363517dbef99,True,0.462963,0.0,182.04,9e21a135f1b5f292
ThaiCharacter Dataset/round2/161/bc_001sg_9_85.jpg,161,ก,consonant,bc,1,sg,9,85,False,bc_001,True,13,17,L,610,edfd4871c3a6c8a4bc66e277ac496a0d,True,0.493213,0.0,154.89,de256169a275f4b0
ThaiCharacter Dataset/round2/161/bc_001tg_7_0.jpg,161,ก,consonant,bc,1,tg,7,0,False,bc_001,True,19,26,L,870,72becf5c2bdd3b625745cde9f24ea28b,True,0.497976,0.0,156.88,de212365e4f4f0d1
ThaiCharacter Dataset/round2/161/bc_001tg_7_18.jpg,161,ก,consonant,bc,1,tg,7,18,False,bc_001,True,18,26,L,859,9fd9fabeac19c58d78420e45f280326d,True,0.461538,0.0,154.63,de212127a4f4f4f4
ThaiCharacter Dataset/round2/161/bc_001tg_8_140.jpg,161,ก,consonant,bc,1,tg,8,140,False,bc_001,True,19,26,L,968,d5f4e0e194fe0dd143e9fb8fa3d14ffd,True,0.453441,0.0,204.2,de212527a574f474
ThaiCharacter Dataset/round2/161/bc_001tg_8_196.jpg,161,ก,consonant,bc,1,tg,8,196,False,bc_001,True,18,26,L,829,ce21731baa63d2aef1d588b93d4ffb12,True,0.452991,0.0,151.48,de212127e4f4f4f0
ThaiCharacter Dataset/round2/161/bc_001tg_8_229.jpg,161,ก,consonant,bc,1,tg,8,229,False,bc_001,True,18,25,L,759,f957635a5c94e36ff462ad93a3e40013,True,0.457778,0.0,149.07,de2121252d75f4f4
