exp_id,model,img_size,mode,channel_mode,aug,loss,sampler,mixup,cutmix,extra,split_kind,subset_frac,epochs,seed,top1,balanced_acc,macro_f1,minority_acc,top5,tau_best,tau_best_bal,tta_top1,tta_bal,best_epoch,best_which,params_M,sec_per_epoch,latency_ms,device
D3_sampler_inv_cap10_resnet18_64_T4,resnet18,64,full,gray3,full,ce,inv,0.0,0.0,-,strat,1.0,6,42,0.9694021784318616,0.9841038743266769,0.9721476579932365,0.975,0.9984202211690363,0.0,0.9841038743266769,,,6,raw,11.21,34.8,11.39,cuda
D1_wce_sqrt_resnet18_64_T4,resnet18,64,full,gray3,full,weighted_ce,none,0.0,0.0,-,strat,1.0,6,42,0.9727280286023114,0.9839860967418916,0.9712631531995921,0.975,0.9939303234389291,0.0,0.9839860967418916,,,6,raw,11.21,34.8,11.7,cuda
D3_sampler_sqrt_resnet18_64_T4,resnet18,64,full,gray3,full,ce,sqrt_inv,0.0,0.0,-,strat,1.0,6,42,0.9721460048224827,0.9837292234303141,0.9768478717042419,0.975,0.9985033674232976,0.5,0.9838930252629042,,,6,ema,11.21,34.3,13.32,cuda
B_trivial_resnet18_64_T4,resnet18,64,full,gray3,trivial,ce,none,0.0,0.0,-,strat,1.0,6,42,0.9805437765028685,0.9826722984134835,0.9792934339951911,0.9666666666666667,0.9988359524403425,0.5,0.9861250277285537,,,3,raw,11.21,28.2,12.36,cuda
B_randaug_resnet18_64_T4,resnet18,64,full,gray3,randaug,ce,none,0.0,0.0,-,strat,1.0,6,42,0.9821235553338322,0.9824508284157143,0.9805178183487748,0.9666666666666667,0.9992516837116487,0.5,0.9860032381567971,,,6,raw,11.21,30.6,14.44,cuda
B_none_resnet18_64_T4,resnet18,64,full,gray3,none,ce,none,0.0,0.0,-,strat,1.0,6,42,0.9847842354701921,0.981474371629522,0.9815778940034373,0.9666666666666667,0.9988359524403425,0.5,0.9861130112703027,,,6,raw,11.21,19.9,14.85,cuda
A3_effb0_full_64_T4,efficientnet_b0,64,full,gray3,base,ce,none,0.0,0.0,-,strat,1.0,6,42,0.9768853413153737,0.9809004120206114,0.9786395881639369,0.9666666666666667,0.999002244948865,0.0,0.9809004120206114,,,6,ema,4.1,46.9,11.38,cuda
B6_synth_all_resnet18_64_T4,resnet18,64,full,gray3,full,ce,none,0.0,0.0,all,strat,1.0,6,42,0.9768853413153737,0.9804422174538843,0.97431129457546,,0.999002244948865,0.75,0.9814124853971397,,,6,raw,11.21,48.7,11.97,cuda
B6_synth_fill_resnet18_64_T4,resnet18,64,full,gray3,full,ce,none,0.0,0.0,fill,strat,1.0,6,42,0.9768853413153737,0.9799347319202157,0.9718186653543731,,0.9985033674232976,0.25,0.9800315372877163,,,6,raw,11.21,40.5,11.64,cuda
B_base_resnet18_64_T4,resnet18,64,full,gray3,base,ce,none,0.0,0.0,-,strat,1.0,6,42,0.97530556248441,0.9793685636598363,0.9769723248508884,0.9666666666666667,0.9992516837116487,0.25,0.979734324177833,,,6,ema,11.21,28.2,15.08,cuda
