corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9803921568627451,0.980952380952381,0.9794897959183674,204
rotate,5.0,0.9607843137254902,0.961904761904762,0.9564625850340136,204
rotate,10.0,0.9558823529411765,0.9547619047619049,0.9501700680272108,204
rotate,15.0,0.8970588235294118,0.8904761904761904,0.8820779220779219,204
rotate,20.0,0.8872549019607843,0.8785714285714284,0.8710491889063317,204
thicker,1.0,0.9019607843137255,0.9023809523809524,0.8951700680272108,204
thicker,2.0,0.5980392156862745,0.6071428571428571,0.5935650815350062,204
thicker,3.0,0.27450980392156865,0.26904761904761904,0.2733438981653268,204
thinner,1.0,0.7990196078431373,0.7833333333333333,0.7867687074829932,204
thinner,2.0,0.04411764705882353,0.04285714285714286,0.0337991718426501,204
thinner,3.0,0.014705882352941176,0.014285714285714285,0.00042016806722689073,204
salt_pepper,0.01,0.9607843137254902,0.9523809523809524,0.9461224489795919,204
salt_pepper,0.05,0.8284313725490197,0.8214285714285714,0.8168242033655566,204
salt_pepper,0.1,0.44607843137254904,0.4333333333333333,0.4194985482636815,204
salt_pepper,0.2,0.06372549019607843,0.0619047619047619,0.03691728132494683,204
downscale,0.8,0.9558823529411765,0.9547619047619047,0.9521768707482993,204
downscale,0.6,0.9607843137254902,0.961904761904762,0.9592517006802721,204
downscale,0.4,0.7647058823529411,0.7619047619047619,0.7385827664399092,204
occlusion,0.1,0.9754901960784313,0.9761904761904762,0.974591836734694,204
occlusion,0.25,0.8627450980392157,0.8523809523809524,0.8481292517006802,204
occlusion,0.4,0.5882352941176471,0.5857142857142856,0.5864430014430013,204
blur,0.5,0.9754901960784313,0.9761904761904762,0.974591836734694,204
blur,1.0,0.9215686274509803,0.914285714285714,0.9035034013605441,204
blur,1.5,0.6078431372549019,0.6047619047619048,0.6174709711470794,204
contrast,60.0,0.9558823529411765,0.9476190476190478,0.9406462585034012,204
contrast,120.0,0.014705882352941176,0.014285714285714285,0.00041407867494824016,204
contrast,180.0,0.10784313725490197,0.10476190476190476,0.05249883737278695,204
translate,0.05,0.9754901960784313,0.9666666666666668,0.9631632653061223,204
translate,0.1,0.9803921568627451,0.980952380952381,0.9794897959183674,204
translate,0.2,0.9264705882352942,0.919047619047619,0.9117006802721088,204
background_noise,20.0,0.9754901960784313,0.9761904761904763,0.9711564625850341,204
background_noise,40.0,0.9607843137254902,0.9523809523809524,0.9450340136054421,204
background_noise,60.0,0.8676470588235294,0.8571428571428571,0.8481323438466295,204
