corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9710144927536232,0.9714285714285714,0.9657142857142859,138
rotate,5.0,0.9492753623188406,0.95,0.9428571428571428,138
rotate,10.0,0.9420289855072463,0.9428571428571428,0.9361904761904761,138
rotate,15.0,0.8913043478260869,0.8857142857142857,0.8766666666666666,138
rotate,20.0,0.8695652173913043,0.8642857142857143,0.8549206349206347,138
thicker,1.0,0.8913043478260869,0.8928571428571429,0.8805442176870747,138
thicker,2.0,0.572463768115942,0.5785714285714286,0.5537380080237221,138
thicker,3.0,0.2391304347826087,0.2357142857142857,0.23085137085137084,138
thinner,1.0,0.7971014492753623,0.7857142857142857,0.7753479853479853,138
thinner,2.0,0.043478260869565216,0.04285714285714286,0.0326036866359447,138
thinner,3.0,0.014492753623188406,0.014285714285714285,0.00041407867494824016,138
salt_pepper,0.01,0.9637681159420289,0.9571428571428572,0.9485714285714286,138
salt_pepper,0.05,0.8115942028985508,0.8071428571428572,0.7904329004329004,138
salt_pepper,0.1,0.43478260869565216,0.42857142857142855,0.4039820432677576,138
salt_pepper,0.2,0.07246376811594203,0.07142857142857142,0.04533926391069248,138
downscale,0.8,0.9347826086956522,0.9357142857142857,0.9238095238095236,138
downscale,0.6,0.9492753623188406,0.95,0.943809523809524,138
downscale,0.4,0.7536231884057971,0.75,0.7210204081632653,138
occlusion,0.1,0.9637681159420289,0.9642857142857143,0.9580952380952382,138
occlusion,0.25,0.8405797101449275,0.8357142857142857,0.8209523809523809,138
occlusion,0.4,0.6086956521739131,0.6071428571428571,0.5952380952380951,138
blur,0.5,0.9710144927536232,0.9714285714285714,0.9657142857142859,138
blur,1.0,0.9347826086956522,0.9357142857142857,0.9247619047619048,138
blur,1.5,0.7898550724637681,0.7928571428571428,0.76578231292517,138
contrast,60.0,0.9710144927536232,0.9714285714285714,0.9657142857142859,138
contrast,120.0,0.9710144927536232,0.9714285714285714,0.9657142857142859,138
contrast,180.0,0.9710144927536232,0.9714285714285714,0.9657142857142859,138
translate,0.05,0.9637681159420289,0.9571428571428572,0.9485714285714286,138
translate,0.1,0.9710144927536232,0.9714285714285714,0.9657142857142859,138
translate,0.2,0.9202898550724637,0.9142857142857143,0.9038095238095238,138
background_noise,20.0,0.9710144927536232,0.9714285714285714,0.9657142857142859,138
background_noise,40.0,0.9637681159420289,0.9642857142857143,0.9580952380952382,138
background_noise,60.0,0.9420289855072463,0.9357142857142857,0.9272108843537414,138
