corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9836201879105346,0.9842395977294695,0.9799069190375399,12027
rotate,5.0,0.9620021618026108,0.9639755281269584,0.9546185867640389,12027
rotate,10.0,0.950527978714559,0.9306225591770755,0.9135661583227991,12027
rotate,15.0,0.9242537623680053,0.8637998251631598,0.8192305906184079,12027
rotate,20.0,0.8474266234306145,0.7351031700979722,0.6665635460644037,12027
thicker,1.0,0.972229151076744,0.9649861492023944,0.9580688903326262,12027
thicker,2.0,0.9319863640143011,0.8899466865070929,0.8532404824633807,12027
thicker,3.0,0.7969568470940385,0.7089791978669946,0.65565379828509,12027
thinner,1.0,0.9417144757628669,0.9361829320496912,0.9048890311203591,12027
thinner,2.0,0.08855076078822649,0.09592102712228005,0.09193706703811132,12027
thinner,3.0,0.01712812837781658,0.019055270597847687,0.009455051696613388,12027
salt_pepper,0.01,0.9825392866051385,0.9836514995708286,0.9803089751314473,12027
salt_pepper,0.05,0.9758044400099776,0.9780498755348567,0.9741260609460617,12027
salt_pepper,0.1,0.9575122640725036,0.9566677732351926,0.9319870813405207,12027
salt_pepper,0.2,0.8618940716720712,0.8374961154937517,0.8015328454493262,12027
downscale,0.8,0.9788808514176436,0.9771752538746327,0.9742933015485706,12027
downscale,0.6,0.9720628585682215,0.9675965500016225,0.9579916401814336,12027
downscale,0.4,0.8758626423879604,0.8590954401986713,0.7716386329055783,12027
occlusion,0.1,0.9826224328593997,0.9844826290835976,0.9811639967309423,12027
occlusion,0.25,0.9459549347301904,0.9472890934069604,0.9273119908412674,12027
occlusion,0.4,0.7795792799534381,0.7674465442256664,0.671647947119742,12027
blur,0.5,0.9836201879105346,0.9842395977294695,0.9799069190375399,12027
blur,1.0,0.9739752224162301,0.9680910676380614,0.9577559374327523,12027
blur,1.5,0.9329841190654361,0.9091537184934221,0.893214283339982,12027
contrast,60.0,0.9836201879105346,0.9842395977294695,0.9799069190375399,12027
contrast,120.0,0.9836201879105346,0.9842395977294695,0.9799069190375399,12027
contrast,180.0,0.9836201879105346,0.9842395977294695,0.9799069190375399,12027
translate,0.05,0.9811258002826972,0.9813782807410057,0.976280824114346,12027
translate,0.1,0.9787977051633824,0.9806640378200866,0.9750420114625147,12027
translate,0.2,0.9140267730938721,0.8875053704508351,0.8478638276457315,12027
background_noise,20.0,0.9836201879105346,0.9842395977294695,0.9799069190375399,12027
background_noise,40.0,0.9836201879105346,0.9841892106752235,0.9799045876222916,12027
background_noise,60.0,0.9806269227571298,0.9831955804560863,0.9807035909563475,12027
