corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9853662592500207,0.9833932763878431,0.9804226071371598,12027
rotate,5.0,0.9599235054460796,0.9591557311534545,0.9540644440390446,12027
rotate,10.0,0.9524403425625676,0.951035766988022,0.9486568740273132,12027
rotate,15.0,0.9374740167955433,0.9343331795685578,0.9264247171710395,12027
rotate,20.0,0.9063773177018375,0.8609360188615315,0.8517419218876339,12027
thicker,1.0,0.9701504947202129,0.9698336172173506,0.9676217681942207,12027
thicker,2.0,0.9321526565228236,0.8944787687739632,0.8899107290711805,12027
thicker,3.0,0.8075995676394778,0.711294844561157,0.7293439482674808,12027
thinner,1.0,0.9419639145256506,0.9094728836895789,0.925910253482845,12027
thinner,2.0,0.12812837781657938,0.05319039886435854,0.0645165705243613,12027
thinner,3.0,0.07940467281948949,0.015997555143877466,0.0054429194655007795,12027
salt_pepper,0.01,0.9848673817244533,0.9817790042309548,0.9792209470129365,12027
salt_pepper,0.05,0.9760538787727613,0.9721334833047752,0.9715332818371577,12027
salt_pepper,0.1,0.963083063108007,0.9471885917549648,0.9511654844753041,12027
salt_pepper,0.2,0.8695435270641058,0.7801682894309022,0.7933280373667017,12027
downscale,0.8,0.9812920927912198,0.9800619230753572,0.9791440077726894,12027
downscale,0.6,0.97530556248441,0.971172699849606,0.9719079897794012,12027
downscale,0.4,0.8914109919348133,0.8529038560870008,0.8493657905361162,12027
occlusion,0.1,0.9833707491477509,0.9823988878324581,0.9793157841814052,12027
occlusion,0.25,0.9510268562401264,0.9442221267984434,0.947917543526557,12027
occlusion,0.4,0.7582938388625592,0.721372758519667,0.709801126944916,12027
blur,0.5,0.9853662592500207,0.9833932763878431,0.9804226071371598,12027
blur,1.0,0.9730606136193565,0.9654080594042392,0.9618116276735057,12027
blur,1.5,0.9340650203708323,0.8972295175992362,0.8996352504106683,12027
contrast,60.0,0.9853662592500207,0.9833932763878431,0.9804226071371598,12027
contrast,120.0,0.9853662592500207,0.9833932763878431,0.9804226071371598,12027
contrast,180.0,0.9853662592500207,0.9833932763878431,0.9804226071371598,12027
translate,0.05,0.9815415315540035,0.9818282975147457,0.9797018986734102,12027
translate,0.1,0.9804606302486073,0.9823787779540883,0.9789839113737582,12027
translate,0.2,0.9494470774091627,0.9150054408216098,0.915390193440738,12027
background_noise,20.0,0.9853662592500207,0.9833932763878431,0.9804226071371598,12027
background_noise,40.0,0.9852831129957595,0.9833775258759514,0.9803941636301774,12027
background_noise,60.0,0.9798786064687786,0.9800113022436073,0.9768250187920836,12027
