corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9855325517585433,0.9828644430845299,0.9816699559254232,12027
rotate,5.0,0.9632493556165295,0.966197637643909,0.9606466428086,12027
rotate,10.0,0.9526897813253513,0.9513264523310984,0.9494999617605417,12027
rotate,15.0,0.9319032177600399,0.9282736004355497,0.9240486206882931,12027
rotate,20.0,0.8637232892658185,0.7959241174685463,0.8037716255915949,12027
thicker,1.0,0.9703167872287354,0.9688151740550186,0.968809817195222,12027
thicker,2.0,0.9310717552174275,0.9038259645000366,0.9023945953731265,12027
thicker,3.0,0.7981208946536958,0.680065557981385,0.7021987618294417,12027
thinner,1.0,0.9440425708821818,0.9274375802812451,0.938904330533138,12027
thinner,2.0,0.12754635403675063,0.05941381737489651,0.07660685922087639,12027
thinner,3.0,0.07890579529392201,0.015990949415122538,0.005434588693583907,12027
salt_pepper,0.01,0.9845347967074083,0.9821178918728581,0.9811024131971738,12027
salt_pepper,0.05,0.9774673650952025,0.9730706350760787,0.9735412273451481,12027
salt_pepper,0.1,0.9555167539702336,0.9346959263815634,0.9366800967253696,12027
salt_pepper,0.2,0.8722042072004657,0.7792424269475262,0.7999926619975734,12027
downscale,0.8,0.9811258002826972,0.9800162992304359,0.9786949825502195,12027
downscale,0.6,0.9760538787727613,0.9736188731525758,0.974705727052076,12027
downscale,0.4,0.8930739170200382,0.8584129587542201,0.8622519966603778,12027
occlusion,0.1,0.9837864804190571,0.981861258177275,0.9807523035883049,12027
occlusion,0.25,0.947534713561154,0.9481917293423248,0.9515194593515747,12027
occlusion,0.4,0.7619522740500541,0.6900063390392536,0.6936572094864829,12027
blur,0.5,0.9855325517585433,0.9828644430845299,0.9816699559254232,12027
blur,1.0,0.972229151076744,0.9679636669970504,0.964761124494469,12027
blur,1.5,0.9278290513012388,0.8938978162706896,0.8990835062418777,12027
contrast,60.0,0.9855325517585433,0.9828644430845299,0.9816699559254232,12027
contrast,120.0,0.9855325517585433,0.9828644430845299,0.9816699559254232,12027
contrast,180.0,0.9855325517585433,0.9828644430845299,0.9816699559254232,12027
translate,0.05,0.9826224328593997,0.9818649895205167,0.9805953336904233,12027
translate,0.1,0.9805437765028685,0.9793619983629384,0.9786185595996979,12027
translate,0.2,0.9245863473850503,0.8787967930779911,0.885968814163151,12027
background_noise,20.0,0.9855325517585433,0.9828644430845299,0.9816699559254232,12027
background_noise,40.0,0.9855325517585433,0.9829454504556964,0.9815929170427765,12027
background_noise,60.0,0.9818741165710485,0.9807928377766184,0.9797021214875916,12027
