corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9847842354701921,0.9839883892488065,0.9818622066467404,12027
rotate,5.0,0.9613369917685208,0.9620420389051471,0.9553450246476075,12027
rotate,10.0,0.9531055125966575,0.946596731448208,0.9318596507945603,12027
rotate,15.0,0.9352290679304898,0.9120696455575095,0.8903251176560847,12027
rotate,20.0,0.892658185748732,0.8099960607715049,0.7588228070513777,12027
thicker,1.0,0.9708156647543028,0.9677794147810642,0.965773922242446,12027
thicker,2.0,0.9259166874532302,0.8944011704135102,0.8736818506011996,12027
thicker,3.0,0.7878939053795626,0.7055003331033465,0.6376463812744544,12027
thinner,1.0,0.944790887170533,0.9444662033569636,0.9100954886096735,12027
thinner,2.0,0.07059116986779745,0.09551437802308124,0.0884159807809083,12027
thinner,3.0,0.006235969069593414,0.019357026918865664,0.008192741213835017,12027
salt_pepper,0.01,0.9828718716221834,0.9779764849039438,0.977123079708593,12027
salt_pepper,0.05,0.9752224162301488,0.9698403371345723,0.9654170530063666,12027
salt_pepper,0.1,0.957013386546936,0.9661265597452923,0.9566452768778492,12027
salt_pepper,0.2,0.8959840359191819,0.8740416727721565,0.8383894408570768,12027
downscale,0.8,0.9794628751974723,0.9780093198948457,0.9745780353953271,12027
downscale,0.6,0.9736426373991852,0.9702938689037871,0.9596166507078039,12027
downscale,0.4,0.882846927745905,0.8689982004208636,0.8070506944718825,12027
occlusion,0.1,0.9828718716221834,0.9828133956597273,0.979094513084617,12027
occlusion,0.25,0.9422964995426956,0.9467303594680605,0.9301799412373041,12027
occlusion,0.4,0.7779163548682132,0.7473341710821723,0.6640927392084037,12027
blur,0.5,0.9847842354701921,0.9839883892488065,0.9818622066467404,12027
blur,1.0,0.9730606136193565,0.9707336582317747,0.9610298007129505,12027
blur,1.5,0.9271638812671489,0.9057631269106614,0.8922044196486192,12027
contrast,60.0,0.9847842354701921,0.9839883892488065,0.9818622066467404,12027
contrast,120.0,0.9847842354701921,0.9839883892488065,0.9818622066467404,12027
contrast,180.0,0.9847842354701921,0.9839883892488065,0.9818622066467404,12027
translate,0.05,0.9799617527230399,0.9824580461078776,0.9793724820702603,12027
translate,0.1,0.9770516338238963,0.9804018764953156,0.9777349087932634,12027
translate,0.2,0.9133616030597822,0.8892412530910242,0.8683313676020299,12027
background_noise,20.0,0.9847842354701921,0.9839883892488065,0.9818622066467404,12027
background_noise,40.0,0.9847842354701921,0.9841911489281854,0.9817819824857935,12027
background_noise,60.0,0.9793797289432111,0.97837178576717,0.9776263170044046,12027
