corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9819572628253097,0.9856291644648651,0.9830392647848508,12027
rotate,5.0,0.9747235387045814,0.9796744263101027,0.978480417135002,12027
rotate,10.0,0.9715639810426541,0.9603500396069085,0.9619812072889632,12027
rotate,15.0,0.9629999168537458,0.9635842201809476,0.9605611119136425,12027
rotate,20.0,0.9531055125966575,0.9279855234479614,0.9184671951680534,12027
thicker,1.0,0.9739752224162301,0.9718222344074728,0.9707187540086337,12027
thicker,2.0,0.9413818907458219,0.9210701627684362,0.9207292367831136,12027
thicker,3.0,0.8207366758127547,0.722426015647899,0.7321600333484368,12027
thinner,1.0,0.964413403176187,0.9584680858164965,0.9611568389656833,12027
thinner,2.0,0.2284859067099027,0.13877840349171208,0.17513945175117904,12027
thinner,3.0,0.08306310800698428,0.020886831534273172,0.014533165639877289,12027
salt_pepper,0.01,0.9205953271805105,0.9258609475130836,0.8940692288507529,12027
salt_pepper,0.05,0.6750644383470524,0.5853538014030111,0.5247137771839155,12027
salt_pepper,0.1,0.3781491643801447,0.3288204929905577,0.2994446685432125,12027
salt_pepper,0.2,0.17518915772844434,0.12588794444840387,0.1172786543467621,12027
downscale,0.8,0.9782156813835536,0.9791192657360733,0.9787046180276765,12027
downscale,0.6,0.9734763448906627,0.970566203772111,0.9705108678052197,12027
downscale,0.4,0.9366425542529309,0.9077376662978542,0.9101389622839146,12027
occlusion,0.1,0.9783819738920762,0.9828846615517273,0.980919244458218,12027
occlusion,0.25,0.949197638646379,0.9620467193594392,0.953951902314263,12027
occlusion,0.4,0.8074332751309553,0.7586128640358917,0.7424336427664707,12027
blur,0.5,0.9819572628253097,0.9856291644648651,0.9830392647848508,12027
blur,1.0,0.9729774673650952,0.970295341389011,0.9661042614933647,12027
blur,1.5,0.9530223663423962,0.9319141395266369,0.9341194632445728,12027
contrast,60.0,0.9819572628253097,0.9856291644648651,0.9830392647848508,12027
contrast,120.0,0.9819572628253097,0.9856291644648651,0.9830392647848508,12027
contrast,180.0,0.9819572628253097,0.9856291644648651,0.9830392647848508,12027
translate,0.05,0.9792134364346886,0.9851654197650922,0.9818732611958718,12027
translate,0.1,0.9785482664005987,0.9757041064403043,0.9733203256938402,12027
translate,0.2,0.97530556248441,0.9561093098540029,0.9567943084198484,12027
background_noise,20.0,0.9819572628253097,0.9856291644648651,0.9830392647848508,12027
background_noise,40.0,0.9809595077741747,0.9845260965882113,0.9822083057109556,12027
background_noise,60.0,0.8027770848923256,0.7923369726282853,0.7199376791598097,12027
