corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9802111914858236,0.984314168376439,0.9812049865143917,12027
rotate,5.0,0.9744740999417976,0.9765816976572212,0.9752182666484391,12027
rotate,10.0,0.9710651035170865,0.9667298146219249,0.9664335608223331,12027
rotate,15.0,0.967157229566808,0.9615329040130209,0.9616555663251404,12027
rotate,20.0,0.9634987943793132,0.9320748931033196,0.9261286070575301,12027
thicker,1.0,0.9745572461960589,0.974604482932897,0.9726006219943842,12027
thicker,2.0,0.9465369585100192,0.9264114661792628,0.9309454783200805,12027
thicker,3.0,0.8193231894903135,0.7287913480408051,0.7354269030717533,12027
thinner,1.0,0.9596740666832959,0.9484440270848055,0.9549047775057239,12027
thinner,2.0,0.15074415897563814,0.08532912235996924,0.10785116600290941,12027
thinner,3.0,0.08156647543028187,0.019958800559052543,0.01195554822993768,12027
salt_pepper,0.01,0.9791302901804274,0.9834464338367058,0.9804008172796864,12027
salt_pepper,0.05,0.9749729774673651,0.9738620178231413,0.9728779277977697,12027
salt_pepper,0.1,0.9665752057869793,0.9670017846359926,0.9661023979207183,12027
salt_pepper,0.2,0.9388875031179845,0.9090921881299057,0.9111247603720989,12027
downscale,0.8,0.9774673650952025,0.9796299455537804,0.9783493174533923,12027
downscale,0.6,0.9738920761619689,0.9701779858098505,0.9701847644236058,12027
downscale,0.4,0.9323189490313462,0.9000558690354816,0.9069208695911346,12027
occlusion,0.1,0.9774673650952025,0.982462745517212,0.9796963191126433,12027
occlusion,0.25,0.9494470774091627,0.9561958136736877,0.9572356233025835,12027
occlusion,0.4,0.8125883428951526,0.7410822616621939,0.7393486844696467,12027
blur,0.5,0.9802111914858236,0.984314168376439,0.9812049865143917,12027
blur,1.0,0.973226906127879,0.9692044181611011,0.9654125767144269,12027
blur,1.5,0.95260663507109,0.9272508963754157,0.9289718021028366,12027
contrast,60.0,0.9802111914858236,0.984314168376439,0.9812049865143917,12027
contrast,120.0,0.9802111914858236,0.984314168376439,0.9812049865143917,12027
contrast,180.0,0.9802111914858236,0.984314168376439,0.9812049865143917,12027
translate,0.05,0.9780493888750312,0.9842894161882506,0.9803282554043451,12027
translate,0.1,0.9762201712812838,0.9814653994928487,0.9775512710772534,12027
translate,0.2,0.9718134198054378,0.9494772946310424,0.9476279819084037,12027
background_noise,20.0,0.9802111914858236,0.984314168376439,0.9812049865143917,12027
background_noise,40.0,0.9802111914858236,0.9843677013662612,0.9812077954595996,12027
background_noise,60.0,0.9774673650952025,0.9822429861314422,0.9804896728146104,12027
