corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9902443091803552,0.9935021684047505,0.9914030956293545,11993
rotate,5.0,0.9759026098557492,0.9796444696504444,0.9776871589577025,11993
rotate,10.0,0.9668139748186442,0.9636155860854787,0.9626518898476726,11993
rotate,15.0,0.9581422496456267,0.9503692429538031,0.9463210278896341,11993
rotate,20.0,0.9420495288918536,0.909457476256196,0.8992817945389476,11993
thicker,1.0,0.9823230217626949,0.9822924424563841,0.9830826791105373,11993
thicker,2.0,0.9523888935212207,0.9164392822640028,0.9176859286688873,11993
thicker,3.0,0.8425748353206037,0.7223685107199672,0.7419197098243403,11993
thinner,1.0,0.9674810306011841,0.9554391313734657,0.9593972112425055,11993
thinner,2.0,0.18135579087801218,0.09016827887936482,0.12078270330485213,11993
thinner,3.0,0.07029100308513299,0.01700720497295541,0.007140450227537898,11993
salt_pepper,0.01,0.9896606353706329,0.9930136240626717,0.9912466477705252,11993
salt_pepper,0.05,0.9834069874093221,0.9823412623773609,0.9823255124107697,11993
salt_pepper,0.1,0.9756524639372968,0.9548206994408103,0.9553834586535369,11993
salt_pepper,0.2,0.9498874343366964,0.9125161327000468,0.9187274128405563,11993
downscale,0.8,0.9874927040773784,0.9912651700314551,0.9896993501486382,11993
downscale,0.6,0.9820728758442425,0.9799362834765982,0.977937652853065,11993
downscale,0.4,0.931626782289669,0.9044021397115434,0.9119235938085875,11993
occlusion,0.1,0.9893271074793629,0.9928869993890379,0.9909599913576728,11993
occlusion,0.25,0.9611440006670557,0.9671311631956958,0.9628986467326184,11993
occlusion,0.4,0.8063036771450013,0.7683189757895139,0.7529449218111477,11993
blur,0.5,0.9902443091803552,0.9935021684047505,0.9914030956293545,11993
blur,1.0,0.9825731676811473,0.9816904355264047,0.9822639134912525,11993
blur,1.5,0.9506378720920537,0.9181091747369184,0.9171661910427604,11993
contrast,60.0,0.9902443091803552,0.9935021684047505,0.9914030956293545,11993
contrast,120.0,0.9902443091803552,0.9935021684047505,0.9914030956293545,11993
contrast,180.0,0.9902443091803552,0.9935021684047505,0.9914030956293545,11993
translate,0.05,0.9879929959142834,0.9925563981975147,0.9903016697097434,11993
translate,0.1,0.9869090302676561,0.9892921602874807,0.9879736182464062,11993
translate,0.2,0.9633953139331276,0.9168779727215971,0.9216346851790039,11993
background_noise,20.0,0.9902443091803552,0.9935021684047505,0.9914030956293545,11993
background_noise,40.0,0.9902443091803552,0.9934660451077576,0.9913988607640914,11993
background_noise,60.0,0.9883265238055532,0.992284024126245,0.9901642139062484,11993
