corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9838696266733183,0.9826982287139275,0.9790719658522751,12027
rotate,5.0,0.9701504947202129,0.9718586921223588,0.9696489997107948,12027
rotate,10.0,0.9610044067514758,0.9541671798054048,0.956662379717537,12027
rotate,15.0,0.9459549347301904,0.9341566607379646,0.9349520593620723,12027
rotate,20.0,0.9171031845015382,0.8623642485066112,0.8679257252184057,12027
thicker,1.0,0.9715639810426541,0.9667224017935886,0.9669524792143903,12027
thicker,2.0,0.9388875031179845,0.8990842631180952,0.9122238084061493,12027
thicker,3.0,0.8193231894903135,0.7087731049304431,0.7340757500345487,12027
thinner,1.0,0.9596740666832959,0.9423795030346337,0.945146277207586,12027
thinner,2.0,0.16878689615032844,0.0906197213408278,0.11321242668697622,12027
thinner,3.0,0.08106759790471439,0.01742837236035996,0.008141099841850746,12027
salt_pepper,0.01,0.9830381641307059,0.9821990006255799,0.9784905765850916,12027
salt_pepper,0.05,0.9793797289432111,0.9717020373918879,0.9734949922017124,12027
salt_pepper,0.1,0.9689864471605554,0.9680836877951943,0.9664890763156959,12027
salt_pepper,0.2,0.9422964995426956,0.8824161773193905,0.9004185752549487,12027
downscale,0.8,0.9803774839943461,0.9768014749551094,0.9739928861928628,12027
downscale,0.6,0.9751392699758876,0.9691960957360196,0.9701821411952496,12027
downscale,0.4,0.9209279121975555,0.8775627214630773,0.8871087866980386,12027
occlusion,0.1,0.9822067015880934,0.9818982156964138,0.9781689801807655,12027
occlusion,0.25,0.9537706826307475,0.9570992205341674,0.9569055043559278,12027
occlusion,0.4,0.8278041074249605,0.7570226252374912,0.7537887506200444,12027
blur,0.5,0.9838696266733183,0.9826982287139275,0.9790719658522751,12027
blur,1.0,0.9738089299077076,0.969991619867014,0.9655377779903386,12027
blur,1.5,0.935312214184751,0.9126530376111908,0.9117152452231698,12027
contrast,60.0,0.9838696266733183,0.9826982287139275,0.9790719658522751,12027
contrast,120.0,0.9838696266733183,0.9826982287139275,0.9790719658522751,12027
contrast,180.0,0.9838696266733183,0.9826982287139275,0.9790719658522751,12027
translate,0.05,0.9808763615199135,0.982561398321239,0.9796243964902954,12027
translate,0.1,0.9794628751974723,0.9645346506566057,0.9646201341150876,12027
translate,0.2,0.9422133532884344,0.8866610747211812,0.890585753411679,12027
background_noise,20.0,0.9838696266733183,0.9826982287139275,0.9790719658522751,12027
background_noise,40.0,0.9837033341647958,0.9826667276901442,0.9790057992833457,12027
background_noise,60.0,0.980710069011391,0.9810657954090741,0.9773824553155249,12027
