corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9879075973646901,0.9867911799106998,0.9847774624747951,11991
rotate,5.0,0.9733133183220749,0.9733707420762064,0.9690998441760726,11991
rotate,10.0,0.9572179134350763,0.9489721945835413,0.9400140908269965,11991
rotate,15.0,0.9444583437578183,0.9378027866050096,0.9248483888816947,11991
rotate,20.0,0.9211074972896339,0.883726170989939,0.8747470479476156,11991
thicker,1.0,0.9835710115920273,0.9752017410277539,0.976491903982477,11991
thicker,2.0,0.9492953048119422,0.9095941209762849,0.9135882908043556,11991
thicker,3.0,0.846134600950713,0.7303723352382271,0.7353439109204616,11991
thinner,1.0,0.9593862063214077,0.9466683096096162,0.9489901227241019,11991
thinner,2.0,0.1420231840547077,0.07697924566360569,0.0984624641188762,11991
thinner,3.0,0.06763405887749145,0.017546723267061602,0.008020590393397607,11991
salt_pepper,0.01,0.9880743891251772,0.9865365354009877,0.9847596774933857,11991
salt_pepper,0.05,0.9809857393044784,0.9721390195520202,0.9710844110972524,11991
salt_pepper,0.1,0.9682261696272204,0.9490041649678265,0.9472053161216942,11991
salt_pepper,0.2,0.929697272954716,0.8964052833850558,0.8961046615144039,11991
downscale,0.8,0.9837378033525144,0.9809819968556363,0.9808763339814949,11991
downscale,0.6,0.9781502793761988,0.9716917662310822,0.9709774560677271,11991
downscale,0.4,0.9182720373613543,0.8839937243624193,0.8861740914734211,11991
occlusion,0.1,0.9855725127178717,0.9848462201931255,0.9833480094765866,11991
occlusion,0.25,0.9520473688599783,0.9459833451930287,0.9423684265551874,11991
occlusion,0.4,0.767408890000834,0.7065339072844911,0.6896196188536848,11991
blur,0.5,0.9879075973646901,0.9867911799106998,0.9847774624747951,11991
blur,1.0,0.9800683846217997,0.9775147902221936,0.9726833209946268,11991
blur,1.5,0.9571345175548328,0.9309749043609628,0.9244973573634263,11991
contrast,60.0,0.9879075973646901,0.9867911799106998,0.9847774624747951,11991
contrast,120.0,0.9879075973646901,0.9867911799106998,0.9847774624747951,11991
contrast,180.0,0.9879075973646901,0.9867911799106998,0.9847774624747951,11991
translate,0.05,0.9868234509215245,0.9826211760994136,0.9822865866584773,11991
translate,0.1,0.9853223250771412,0.9774773118147067,0.9788952165604763,11991
translate,0.2,0.9482945542490201,0.8966328185168859,0.9007205278633167,11991
background_noise,20.0,0.9879075973646901,0.9867911799106998,0.9847774624747951,11991
background_noise,40.0,0.9879075973646901,0.9867911799106998,0.9847774624747951,11991
background_noise,60.0,0.9849053456759236,0.9844604345427546,0.9827142315579995,11991
