corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9869767441860465,0.9847619047619048,0.9866628378086121,1075
rotate,5.0,0.9637209302325581,0.9628571428571427,0.961083671491946,1075
rotate,10.0,0.906046511627907,0.8942522974101922,0.8981504988634262,1075
rotate,15.0,0.7804651162790698,0.7704469507101086,0.7895542665383156,1075
rotate,20.0,0.5497674418604651,0.549749373433584,0.5752715090594533,1075
thicker,1.0,0.933953488372093,0.9054761904761904,0.913043391019608,1075
thicker,2.0,0.6232558139534884,0.5821814954051797,0.570363625305353,1075
thicker,3.0,0.2837209302325581,0.25763680033416875,0.26061728092126807,1075
thinner,1.0,0.7004651162790698,0.6586382623224728,0.6951207022842567,1075
thinner,2.0,0.04093023255813953,0.03214285714285714,0.03003010982941014,1075
thinner,3.0,0.01953488372093023,0.015000000000000001,0.0016704920195224906,1075
salt_pepper,0.01,0.9739534883720931,0.9666666666666666,0.9703320248233287,1075
salt_pepper,0.05,0.9144186046511628,0.8874707602339181,0.8983196738599888,1075
salt_pepper,0.1,0.6967441860465117,0.6388084795321639,0.6759388391883432,1075
salt_pepper,0.2,0.32651162790697674,0.2824738930659983,0.3167381248368448,1075
downscale,0.8,0.9786046511627907,0.9726190476190476,0.9758937540201315,1075
downscale,0.6,0.9683720930232558,0.9666290726817043,0.9691839547351869,1075
downscale,0.4,0.7897674418604651,0.7993159983291562,0.8142032678448393,1075
occlusion,0.1,0.9832558139534884,0.981904761904762,0.983784929591633,1075
occlusion,0.25,0.9190697674418604,0.9207560568086884,0.92725384836896,1075
occlusion,0.4,0.6362790697674419,0.6195561821219715,0.6566780473156821,1075
blur,0.5,0.9869767441860465,0.9847619047619048,0.9866628378086121,1075
blur,1.0,0.9293023255813954,0.9177777777777777,0.9243283026863728,1075
blur,1.5,0.8037209302325582,0.7752840434419381,0.7797546469871529,1075
contrast,60.0,0.9869767441860465,0.9847619047619048,0.9866628378086121,1075
contrast,120.0,0.9869767441860465,0.9847619047619048,0.9866628378086121,1075
contrast,180.0,0.9869767441860465,0.9847619047619048,0.9866628378086121,1075
translate,0.05,0.9786046511627907,0.9685714285714283,0.9736453674084337,1075
translate,0.1,0.9562790697674418,0.9486507936507937,0.954128224400503,1075
translate,0.2,0.7906976744186046,0.7678299916457811,0.7743820619077488,1075
background_noise,20.0,0.9869767441860465,0.9847619047619048,0.9866628378086121,1075
background_noise,40.0,0.986046511627907,0.9799999999999999,0.9835036713936317,1075
background_noise,60.0,0.9590697674418605,0.9542898913951546,0.9527791024148712,1075
