corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9837033341647958,0.9818052846433838,0.9774761892118901,12027
rotate,5.0,0.9646628419389707,0.9654233596973011,0.9587920529269512,12027
rotate,10.0,0.95460214517336,0.9456853860236022,0.9425331123387575,12027
rotate,15.0,0.9458717884759291,0.9327668335596642,0.9326026700803403,12027
rotate,20.0,0.9144425043651784,0.850954187968038,0.8456953807835642,12027
thicker,1.0,0.9748066849588426,0.9690754069624018,0.9665349892714549,12027
thicker,2.0,0.9412155982372994,0.902840902585088,0.9043879727081456,12027
thicker,3.0,0.8206535295584934,0.7158402126282303,0.7250020528848901,12027
thinner,1.0,0.9554336077159724,0.9136437148225983,0.9292842359932855,12027
thinner,2.0,0.16022283196142015,0.06872828940401021,0.08834900610891168,12027
thinner,3.0,0.08106759790471439,0.016881693843845344,0.0071042177814257075,12027
salt_pepper,0.01,0.982705579113661,0.9810330413371376,0.97682744298929,12027
salt_pepper,0.05,0.9791302901804274,0.9708741917479413,0.9716241726613339,12027
salt_pepper,0.1,0.9714808347883928,0.9661050960927599,0.9647977330861031,12027
salt_pepper,0.2,0.949530223663424,0.9054528395841921,0.9259848089117931,12027
downscale,0.8,0.9802111914858236,0.9787191816287585,0.9770066314377146,12027
downscale,0.6,0.97730107258668,0.9710977781566011,0.9730520222218455,12027
downscale,0.4,0.9210110584518167,0.8766576157490619,0.8892176725415534,12027
occlusion,0.1,0.9817909703167872,0.9806457060112178,0.9764993496339885,12027
occlusion,0.25,0.9507774174773427,0.9387674806571661,0.9458551519051749,12027
occlusion,0.4,0.8092624927247027,0.7473250624999448,0.7507807257476594,12027
blur,0.5,0.9837033341647958,0.9818052846433838,0.9774761892118901,12027
blur,1.0,0.9753887087386713,0.9706194869138668,0.9619891336141834,12027
blur,1.5,0.9416313295086056,0.9156993112386577,0.9147710850712958,12027
contrast,60.0,0.9837033341647958,0.9818052846433838,0.9774761892118901,12027
contrast,120.0,0.9837033341647958,0.9818052846433838,0.9774761892118901,12027
contrast,180.0,0.9837033341647958,0.9818052846433838,0.9774761892118901,12027
translate,0.05,0.9819572628253097,0.982345417426034,0.9798129500785043,12027
translate,0.1,0.9800448989773011,0.9699386028696332,0.9698080606527615,12027
translate,0.2,0.9449571796790555,0.8935876561444164,0.885366721518802,12027
background_noise,20.0,0.9837033341647958,0.9818052846433838,0.9774761892118901,12027
background_noise,40.0,0.9837033341647958,0.98174576083386,0.9774589718654141,12027
background_noise,60.0,0.9807932152656523,0.9800691380166828,0.975339494271088,12027
