corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9851162790697674,0.9833333333333333,0.9851979367812768,1075
rotate,5.0,0.9646511627906976,0.967142857142857,0.9631081271176825,1075
rotate,10.0,0.9534883720930233,0.9491269841269843,0.9516610216222722,1075
rotate,15.0,0.935813953488372,0.9322222222222223,0.9340126613886337,1075
rotate,20.0,0.8465116279069768,0.835873015873016,0.8374578409935954,1075
thicker,1.0,0.9702325581395349,0.9669047619047619,0.9688753002785075,1075
thicker,2.0,0.893953488372093,0.8896031746031745,0.8875810449257908,1075
thicker,3.0,0.6930232558139535,0.6772880116959066,0.6731569147670508,1075
thinner,1.0,0.932093023255814,0.9175616123642439,0.9262090695890013,1075
thinner,2.0,0.11534883720930232,0.0931547619047619,0.10373595193272148,1075
thinner,3.0,0.027906976744186046,0.021428571428571432,0.011355685565003612,1075
salt_pepper,0.01,0.9832558139534884,0.981904761904762,0.9837576813340527,1075
salt_pepper,0.05,0.9795348837209302,0.9733333333333333,0.9768112247828333,1075
salt_pepper,0.1,0.9590697674418605,0.9596031746031746,0.9593254203052614,1075
salt_pepper,0.2,0.9032558139534884,0.8966489139515454,0.9058120633772173,1075
downscale,0.8,0.9823255813953489,0.9807142857142855,0.9827295701471215,1075
downscale,0.6,0.9776744186046512,0.9726190476190477,0.9756035828882438,1075
downscale,0.4,0.8893023255813953,0.8774864243943191,0.8851005639984888,1075
occlusion,0.1,0.9851162790697674,0.9833333333333333,0.9851979367812768,1075
occlusion,0.25,0.933953488372093,0.9242857142857144,0.9327690858499249,1075
occlusion,0.4,0.706046511627907,0.7091060985797828,0.7235133917069568,1075
blur,0.5,0.9851162790697674,0.9833333333333333,0.9851979367812768,1075
blur,1.0,0.9693023255813954,0.9680952380952382,0.9679928973054018,1075
blur,1.5,0.9293023255813954,0.9173433583959899,0.9195403880797837,1075
contrast,60.0,0.9851162790697674,0.9833333333333333,0.9851979367812768,1075
contrast,120.0,0.9851162790697674,0.9833333333333333,0.9851979367812768,1075
contrast,180.0,0.9851162790697674,0.9833333333333333,0.9851979367812768,1075
translate,0.05,0.987906976744186,0.9854761904761903,0.9873532555835876,1075
translate,0.1,0.9823255813953489,0.9723809523809526,0.9761076252345193,1075
translate,0.2,0.9209302325581395,0.9002380952380953,0.8891822145338599,1075
background_noise,20.0,0.9851162790697674,0.9833333333333333,0.9851979367812768,1075
background_noise,40.0,0.9851162790697674,0.9833333333333333,0.9851979367812768,1075
background_noise,60.0,0.9841860465116279,0.9826190476190476,0.9844558217534476,1075
