corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9854494055042821,0.9847089104561138,0.9827369294552527,12027
rotate,5.0,0.9615032842770433,0.9624697797263325,0.9547529537323438,12027
rotate,10.0,0.9519414650370001,0.940505145623699,0.9277907802334048,12027
rotate,15.0,0.9269975887586265,0.8994104749081154,0.8685501991518572,12027
rotate,20.0,0.8454311133283445,0.7792521319945415,0.7140765415116737,12027
thicker,1.0,0.972229151076744,0.9690662050761865,0.9647239410450622,12027
thicker,2.0,0.9254178099276628,0.897852513838196,0.8586810591186788,12027
thicker,3.0,0.7666084642886838,0.7065783722842064,0.6303758419993807,12027
thinner,1.0,0.945123472187578,0.947864107544762,0.9001621968860527,12027
thinner,2.0,0.1135777833208614,0.11299615950903293,0.09127577757191198,12027
thinner,3.0,0.06618441839195144,0.02253267493238903,0.01403683614694115,12027
salt_pepper,0.01,0.9839527729275797,0.9824022093503791,0.9808128796545278,12027
salt_pepper,0.05,0.9727280286023114,0.9678663830414455,0.9651595070695193,12027
salt_pepper,0.1,0.958011141598071,0.9609402859236809,0.944269815545669,12027
salt_pepper,0.2,0.8716221834206369,0.8468677343101955,0.795047951892537,12027
downscale,0.8,0.9811258002826972,0.9794011282190155,0.9783821093090401,12027
downscale,0.6,0.9739752224162301,0.9683703761550947,0.9626727996352725,12027
downscale,0.4,0.879437931321194,0.8672923318249003,0.7784189138799039,12027
occlusion,0.1,0.9835370416562734,0.9833533871159695,0.9814578073426501,12027
occlusion,0.25,0.9462875197472354,0.9569466716498054,0.9294322653020453,12027
occlusion,0.4,0.7771680385798619,0.7608741012701924,0.6959784219163321,12027
blur,0.5,0.9854494055042821,0.9847089104561138,0.9827369294552527,12027
blur,1.0,0.9727280286023114,0.9676081477457925,0.9635712632062057,12027
blur,1.5,0.9321526565228236,0.9050597434842292,0.8967267850047007,12027
contrast,60.0,0.9854494055042821,0.9847089104561138,0.9827369294552527,12027
contrast,120.0,0.9854494055042821,0.9847089104561138,0.9827369294552527,12027
contrast,180.0,0.9854494055042821,0.9847089104561138,0.9827369294552527,12027
translate,0.05,0.9803774839943461,0.9814635639700685,0.977063178488414,12027
translate,0.1,0.9773842188409412,0.97879162027004,0.9771705693807621,12027
translate,0.2,0.8830132202544275,0.8632308985421067,0.8378332285159135,12027
background_noise,20.0,0.9854494055042821,0.9847089104561138,0.9827369294552527,12027
background_noise,40.0,0.9855325517585433,0.9847514274629164,0.982778781733366,12027
background_noise,60.0,0.9797954602145174,0.9819565671408265,0.9799025009850396,12027
