corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9808763615199135,0.9850806498145351,0.9812853176295261,12027
rotate,5.0,0.9740583686704914,0.9760378092382204,0.9736323987595199,12027
rotate,10.0,0.9698179097031678,0.96670544408974,0.9630661330372127,12027
rotate,15.0,0.9638313793963582,0.9663590114721057,0.9559425378752303,12027
rotate,20.0,0.9575954103267648,0.9241432385916677,0.8922685952405394,12027
thicker,1.0,0.9730606136193565,0.9743911184075068,0.965340618814318,12027
thicker,2.0,0.9359773842188409,0.9108645702967778,0.8695656521196747,12027
thicker,3.0,0.7903051467531388,0.7761169377409175,0.6795678470526543,12027
thinner,1.0,0.9602560904631247,0.9581796942534423,0.9430623456260603,12027
thinner,2.0,0.14126548598985617,0.1537414379119462,0.1330534288560309,12027
thinner,3.0,0.029267481499958427,0.021997014097216327,0.011774265913687349,12027
salt_pepper,0.01,0.9333998503367423,0.9582508917094519,0.9154309128504508,12027
salt_pepper,0.05,0.7292757961253845,0.7485148672566388,0.5897907639318521,12027
salt_pepper,0.1,0.4898145838529974,0.47091504232216064,0.40762202092009053,12027
salt_pepper,0.2,0.22474432526814667,0.20081875290010984,0.17285904515296455,12027
downscale,0.8,0.9768021950611125,0.9785725300814412,0.9668388738082663,12027
downscale,0.6,0.9730606136193565,0.9729047387187925,0.9692047100524448,12027
downscale,0.4,0.9259166874532302,0.8985143617745989,0.8633422286958464,12027
occlusion,0.1,0.9783819738920762,0.9832773376932138,0.9783080050314037,12027
occlusion,0.25,0.9443751558992267,0.9509147996736713,0.9271303819805772,12027
occlusion,0.4,0.7811590587844017,0.7513823732757736,0.6854720325866146,12027
blur,0.5,0.9808763615199135,0.9850806498145351,0.9812853176295261,12027
blur,1.0,0.9733100523821402,0.9703460052267046,0.9648607856960107,12027
blur,1.5,0.9493639311549015,0.9342448530728529,0.9249467781955905,12027
contrast,60.0,0.9808763615199135,0.9850806498145351,0.9812853176295261,12027
contrast,120.0,0.9808763615199135,0.9850806498145351,0.9812853176295261,12027
contrast,180.0,0.9808763615199135,0.9850806498145351,0.9812853176295261,12027
translate,0.05,0.9787977051633824,0.9816067856033985,0.9780252683092936,12027
translate,0.1,0.9774673650952025,0.9818108141150136,0.9773738308744768,12027
translate,0.2,0.9738920761619689,0.9630601215998579,0.9575861190720598,12027
background_noise,20.0,0.9808763615199135,0.9850806498145351,0.9812853176295261,12027
background_noise,40.0,0.980710069011391,0.9850085883216023,0.9811501802033904,12027
background_noise,60.0,0.8899975056123721,0.8893654061383368,0.7719971357394986,12027
