corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9854494055042821,0.982769581738686,0.9803179071892255,12027
rotate,5.0,0.9629999168537458,0.9658425568532891,0.9602709711184626,12027
rotate,10.0,0.9512762950029101,0.9449099465921135,0.9375257792613241,12027
rotate,15.0,0.9259998337074915,0.9147450423139718,0.909415196437664,12027
rotate,20.0,0.8228153321692858,0.7344970331890361,0.7345461075354046,12027
thicker,1.0,0.9705662259915191,0.9605806738504554,0.9575648945862296,12027
thicker,2.0,0.9241706161137441,0.8956683749111084,0.8665115082119215,12027
thicker,3.0,0.7493140434023448,0.6410318800112519,0.6467793101606336,12027
thinner,1.0,0.9384717718466783,0.8805549510252898,0.8987736368654262,12027
thinner,2.0,0.11549014716887004,0.05122808538162076,0.060906667391884536,12027
thinner,3.0,0.07865635653113827,0.015814410439509943,0.005099155928358698,12027
salt_pepper,0.01,0.9847842354701921,0.9827564991936116,0.9801273605534021,12027
salt_pepper,0.05,0.9784651201463374,0.9742186471428322,0.9729729319306151,12027
salt_pepper,0.1,0.9615864305313045,0.9585525052895942,0.9580609352773323,12027
salt_pepper,0.2,0.8695435270641058,0.7464747658395724,0.7757220947354373,12027
downscale,0.8,0.9811258002826972,0.9768143698335182,0.9767168583308669,12027
downscale,0.6,0.9751392699758876,0.9699004059766417,0.9711678695875554,12027
downscale,0.4,0.8915772844433358,0.8562232517312418,0.8520433352760739,12027
occlusion,0.1,0.9836201879105346,0.9819149234809538,0.9807320797598895,12027
occlusion,0.25,0.9514425875114326,0.952575524028785,0.9473044760738564,12027
occlusion,0.4,0.7882264903966076,0.7358679807152688,0.7308757459530698,12027
blur,0.5,0.9854494055042821,0.982769581738686,0.9803179071892255,12027
blur,1.0,0.972894321110834,0.9664813484827377,0.962864161571038,12027
blur,1.5,0.9323189490313462,0.8959779040867614,0.8940812080661857,12027
contrast,60.0,0.9854494055042821,0.982769581738686,0.9803179071892255,12027
contrast,120.0,0.9854494055042821,0.982769581738686,0.9803179071892255,12027
contrast,180.0,0.9854494055042821,0.982769581738686,0.9803179071892255,12027
translate,0.05,0.9828718716221834,0.9791128120101367,0.9789042159073363,12027
translate,0.1,0.9793797289432111,0.9773525033601808,0.9767513428275233,12027
translate,0.2,0.8885008730356697,0.8640088206604611,0.8639907860861676,12027
background_noise,20.0,0.9854494055042821,0.982769581738686,0.9803179071892255,12027
background_noise,40.0,0.9855325517585433,0.9828687768981758,0.980371754813623,12027
background_noise,60.0,0.9802111914858236,0.9795640511154707,0.9772690364196145,12027
