corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9900775452347202,0.9934844532647978,0.9911352377190655,11993
rotate,5.0,0.9753189360460268,0.9783350294454266,0.9783161870209053,11993
rotate,10.0,0.9672308846827316,0.9689315965446357,0.9662149681711085,11993
rotate,15.0,0.960476944884516,0.9520674584807718,0.9493258607515068,11993
rotate,20.0,0.9402151254898691,0.875955955531809,0.873508700525568,11993
thicker,1.0,0.9811556741432502,0.9806166156329306,0.9800053271524959,11993
thicker,2.0,0.9502209622279663,0.9150197306237126,0.9113389435978567,11993
thicker,3.0,0.8298173934795298,0.7165824716837692,0.7353559022448234,11993
thinner,1.0,0.9708163095138831,0.9645494759213152,0.9693531779761985,11993
thinner,2.0,0.16701409155340616,0.08575288212341672,0.11607522209427094,11993
thinner,3.0,0.07229217043275243,0.020880247380102496,0.014081402748093769,11993
salt_pepper,0.01,0.9904944550988076,0.9934507357376507,0.9914522520978807,11993
salt_pepper,0.05,0.983907279246227,0.9857545607285477,0.9844417367492044,11993
salt_pepper,0.1,0.9779871591761861,0.9772632306094918,0.9733161921648746,11993
salt_pepper,0.2,0.9558909363795547,0.9270298390770624,0.9274410032793221,11993
downscale,0.8,0.9865755023763862,0.9875632922436884,0.9867063118236045,11993
downscale,0.6,0.9808221462519803,0.9782022798400785,0.9783467745560426,11993
downscale,0.4,0.9292920870507796,0.8921203206478118,0.9041009072422828,11993
occlusion,0.1,0.9889101976152755,0.9927183927260357,0.9905728546001845,11993
occlusion,0.25,0.9593929792378888,0.9617624232072844,0.9653465109185805,11993
occlusion,0.4,0.8121404152422246,0.7772195913399597,0.7696098404825027,11993
blur,0.5,0.9900775452347202,0.9934844532647978,0.9911352377190655,11993
blur,1.0,0.9809055282247978,0.9794657592959891,0.9797888835785845,11993
blur,1.5,0.949470524472609,0.9228783654614822,0.9227541290335696,11993
contrast,60.0,0.9900775452347202,0.9934844532647978,0.9911352377190655,11993
contrast,120.0,0.9900775452347202,0.9934844532647978,0.9911352377190655,11993
contrast,180.0,0.9900775452347202,0.9934844532647978,0.9911352377190655,11993
translate,0.05,0.9876594680230134,0.9898206776936062,0.988217196575671,11993
translate,0.1,0.9869090302676561,0.9866211011615653,0.9856452636539638,11993
translate,0.2,0.9676477945468189,0.9277515046150825,0.9279245348045677,11993
background_noise,20.0,0.9900775452347202,0.9934844532647978,0.9911352377190655,11993
background_noise,40.0,0.9898273993162678,0.9933418727332013,0.9910098806365787,11993
background_noise,60.0,0.9889101976152755,0.9925553609500034,0.9900891846980774,11993
