corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9896606353706329,0.9900608461678796,0.9867628879505563,11993
rotate,5.0,0.9769865755023763,0.9728351341354545,0.9675261172576572,11993
rotate,10.0,0.965563245226382,0.9637292519786639,0.9401752900501399,11993
rotate,15.0,0.9463853914783624,0.9303402595415808,0.8688211333852645,11993
rotate,20.0,0.891770199282915,0.8744902230732786,0.7573543980458358,11993
thicker,1.0,0.9813224380888852,0.9731232034452789,0.9700400567815046,11993
thicker,2.0,0.9436337863753856,0.9149317236081921,0.8656030865684095,11993
thicker,3.0,0.8228133077628617,0.7882620892490279,0.6768277705348704,11993
thinner,1.0,0.9664804469273743,0.9540164165046797,0.9305610199493052,11993
thinner,2.0,0.17393479529725672,0.14964180004336022,0.14540680224834734,11993
thinner,3.0,0.01300758775952639,0.02502865368427982,0.017774408473867947,11993
salt_pepper,0.01,0.9894104894521805,0.9887616557255583,0.9846290679646253,11993
salt_pepper,0.05,0.98182272992579,0.9814522239458664,0.9764489231754283,11993
salt_pepper,0.1,0.9708163095138831,0.968622607669935,0.9482367123122083,11993
salt_pepper,0.2,0.9335445676644709,0.9115264670130828,0.8370553563763684,11993
downscale,0.8,0.9859918285666639,0.9780844754014627,0.9718550231476897,11993
downscale,0.6,0.9794880346869007,0.971343583866322,0.9582045422026222,11993
downscale,0.4,0.9025264737763695,0.8965356643093376,0.7621034860177593,11993
occlusion,0.1,0.9889101976152755,0.9895772435426835,0.9851543261021706,11993
occlusion,0.25,0.9577253397815393,0.9613157616190847,0.9305414053856678,11993
occlusion,0.4,0.7883765529892437,0.7977027659837078,0.6706572232490481,11993
blur,0.5,0.9896606353706329,0.9900608461678796,0.9867628879505563,11993
blur,1.0,0.9794046527140832,0.9786069171715744,0.9671936832414135,11993
blur,1.5,0.9452180438589177,0.9130538880094331,0.88284856216475,11993
contrast,60.0,0.9896606353706329,0.9900608461678796,0.9867628879505563,11993
contrast,120.0,0.9896606353706329,0.9900608461678796,0.9867628879505563,11993
contrast,180.0,0.9896606353706329,0.9900608461678796,0.9867628879505563,11993
translate,0.05,0.9878262319686484,0.9865992698773507,0.9834454121112304,11993
translate,0.1,0.9867422663220212,0.9857975427151189,0.9815247835725899,11993
translate,0.2,0.9466355373968148,0.9142809003051362,0.8554710382263888,11993
background_noise,20.0,0.9896606353706329,0.9900608461678796,0.9867628879505563,11993
background_noise,40.0,0.9894938714249979,0.9899509560579894,0.9866853626063462,11993
background_noise,60.0,0.987742849995831,0.9863385790847321,0.980090596027078,11993
