corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9903276911531727,0.9926796760484352,0.9897313321322991,11993
rotate,5.0,0.9766530476111065,0.9802272191486018,0.9791421580962403,11993
rotate,10.0,0.969565579921621,0.9680490697155526,0.9535363823285739,11993
rotate,15.0,0.9561410822980072,0.937542361279864,0.9019096822511106,11993
rotate,20.0,0.9387142499791545,0.9046679716731084,0.8454925270532877,11993
thicker,1.0,0.9812390561160677,0.9813007246122404,0.9786924995837276,11993
thicker,2.0,0.9469690652880847,0.9086806419004549,0.8731522120045241,11993
thicker,3.0,0.8385725006253648,0.7688295583762693,0.7071931386368843,11993
thinner,1.0,0.9681480863837238,0.9597104909289869,0.9485931953495589,11993
thinner,2.0,0.2374718585841741,0.14051179870776304,0.16129771616806252,11993
thinner,3.0,0.08246477111648462,0.022666529552724652,0.01616634701022155,11993
salt_pepper,0.01,0.9898273993162678,0.9918669803608708,0.9893460843426238,11993
salt_pepper,0.05,0.9832402234636871,0.9854609639419708,0.9832948829090585,11993
salt_pepper,0.1,0.9710664554323355,0.9655923307531769,0.9555952995594879,11993
salt_pepper,0.2,0.944217460185108,0.9066620145844039,0.8340820567265907,11993
downscale,0.8,0.9868256482948387,0.9904022002049784,0.9886173434626315,11993
downscale,0.6,0.9805720003335279,0.9806905973387111,0.9761726487239563,11993
downscale,0.4,0.9202868339864921,0.8944007781757151,0.824002618509278,11993
occlusion,0.1,0.9896606353706329,0.9921787261839382,0.9878678685297302,11993
occlusion,0.25,0.9610606186942383,0.963007885061763,0.9491842017882118,11993
occlusion,0.4,0.807137496873176,0.7806881472062438,0.7161462486831149,11993
blur,0.5,0.9903276911531727,0.9926796760484352,0.9897313321322991,11993
blur,1.0,0.9816559659801551,0.9830545907678537,0.9814461068064558,11993
blur,1.5,0.949637288418244,0.9228082877552043,0.8998608595362608,11993
contrast,60.0,0.9903276911531727,0.9926796760484352,0.9897313321322991,11993
contrast,120.0,0.9903276911531727,0.9926796760484352,0.9897313321322991,11993
contrast,180.0,0.9903276911531727,0.9926796760484352,0.9897313321322991,11993
translate,0.05,0.9884099057783707,0.9929527833136321,0.9898166965937685,11993
translate,0.1,0.9866588843492037,0.9908154237438369,0.9869322433682978,11993
translate,0.2,0.9621445843408655,0.9293550168172527,0.9211603313108835,11993
background_noise,20.0,0.9903276911531727,0.9926796760484352,0.9897313321322991,11993
background_noise,40.0,0.9902443091803552,0.9926247309934902,0.9896923802449777,11993
background_noise,60.0,0.9884099057783707,0.9901184135776921,0.9859487915168379,11993
