corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9909947469357125,0.9908747006578259,0.9898920818477007,11993
rotate,5.0,0.9793212707412657,0.9837268813849389,0.9833420700388611,11993
rotate,10.0,0.9727340948886851,0.974059508550833,0.9733910653544017,11993
rotate,15.0,0.962061202368048,0.9518026549264408,0.9494072943197291,11993
rotate,20.0,0.9383807220878846,0.9050000441587747,0.8901411816638596,11993
thicker,1.0,0.9824897857083299,0.9792102698000359,0.979702181786016,11993
thicker,2.0,0.9549737346785625,0.9213361851235333,0.9161353592325294,11993
thicker,3.0,0.8494955390644543,0.7642699786892043,0.7680935609652777,11993
thinner,1.0,0.9720670391061452,0.967159446324698,0.9727284081283344,11993
thinner,2.0,0.19553072625698323,0.10295633862003915,0.13517140602665892,11993
thinner,3.0,0.0724589343783874,0.0209132180908962,0.014171183312197341,11993
salt_pepper,0.01,0.9908279829900776,0.9902590330422951,0.9894629896235193,11993
salt_pepper,0.05,0.9848244809472192,0.9822523876321899,0.9827694787346506,11993
salt_pepper,0.1,0.9773201033936463,0.9569982453113096,0.9589301331183027,11993
salt_pepper,0.2,0.951221545901776,0.9379996431716153,0.9357991333509992,11993
downscale,0.8,0.9879929959142834,0.9882121238172872,0.9879418670966081,11993
downscale,0.6,0.9825731676811473,0.9792372265227095,0.9782202387902925,11993
downscale,0.4,0.9332944217460185,0.907879753999999,0.9121366989789124,11993
occlusion,0.1,0.9904944550988076,0.9905403761455097,0.9895399819503045,11993
occlusion,0.25,0.9642291336613025,0.9757903585294426,0.9744626717988227,11993
occlusion,0.4,0.8041357458517469,0.7799086319420455,0.7690996282313171,11993
blur,0.5,0.9909947469357125,0.9908747006578259,0.9898920818477007,11993
blur,1.0,0.983907279246227,0.9802495657798176,0.9810673347503898,11993
blur,1.5,0.9518886016843159,0.9222095084822945,0.9209203118981528,11993
contrast,60.0,0.9909947469357125,0.9908747006578259,0.9898920818477007,11993
contrast,120.0,0.9909947469357125,0.9908747006578259,0.9898920818477007,11993
contrast,180.0,0.9909947469357125,0.9908747006578259,0.9898920818477007,11993
translate,0.05,0.9896606353706329,0.9901373667218494,0.9891802890952345,11993
translate,0.1,0.9889101976152755,0.9903286966807106,0.989103074296596,11993
translate,0.2,0.9737346785624947,0.9289059256422109,0.9325418435508961,11993
background_noise,20.0,0.9909947469357125,0.9908747006578259,0.9898920818477007,11993
background_noise,40.0,0.9908279829900776,0.9907648105479357,0.9898146389162829,11993
background_noise,60.0,0.9894938714249979,0.9896424525562594,0.9890454649815184,11993
