corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9903260778917522,0.987495064198539,0.9868814797565065,11991
rotate,5.0,0.9788174464181469,0.9775395272044177,0.9784550983484607,11991
rotate,10.0,0.9642231673755316,0.9554435805608387,0.9539121114659094,11991
rotate,15.0,0.9540488699858227,0.9422362232358606,0.9330577017405574,11991
rotate,20.0,0.9336168793261613,0.8823067446285896,0.8771934345072179,11991
thicker,1.0,0.9839045951130014,0.9749144586227536,0.9768256390369986,11991
thicker,2.0,0.9441247602368443,0.9068753194165793,0.9107647046550895,11991
thicker,3.0,0.8324576765907764,0.7416611843394486,0.7475243846419805,11991
thinner,1.0,0.9626386456509048,0.9541356604310985,0.9589471923257576,11991
thinner,2.0,0.18672337586523224,0.10246076893547806,0.1273858049713597,11991
thinner,3.0,0.0710532899674756,0.018128605592887707,0.00899747383528468,11991
salt_pepper,0.01,0.9895755149695605,0.9866073349083982,0.9857496626127559,11991
salt_pepper,0.05,0.9832374280710533,0.9773454253978603,0.9778973674549299,11991
salt_pepper,0.1,0.9754816112084063,0.9720920300736988,0.971946065375307,11991
salt_pepper,0.2,0.9436243849553833,0.890102797157723,0.8922296256155265,11991
downscale,0.8,0.9864898674005504,0.9837744527316653,0.9818910017268201,11991
downscale,0.6,0.9822366775081312,0.9803875785495498,0.980509625599941,11991
downscale,0.4,0.927112000667167,0.8855439525755032,0.8967237902586861,11991
occlusion,0.1,0.9887415561671253,0.9865414419474529,0.9861095069392882,11991
occlusion,0.25,0.9563005587523976,0.9570254767480263,0.9613179102792097,11991
occlusion,0.4,0.7889250271036611,0.7281074388209294,0.7144600267886481,11991
blur,0.5,0.9903260778917522,0.987495064198539,0.9868814797565065,11991
blur,1.0,0.9811525310649654,0.9728657468162916,0.9721664938914539,11991
blur,1.5,0.95279793178217,0.9175621130272142,0.9218295119206488,11991
contrast,60.0,0.9903260778917522,0.987495064198539,0.9868814797565065,11991
contrast,120.0,0.9903260778917522,0.987495064198539,0.9868814797565065,11991
contrast,180.0,0.9903260778917522,0.987495064198539,0.9868814797565065,11991
translate,0.05,0.9879909932449337,0.9867840986952071,0.9851626023478866,11991
translate,0.1,0.9867400550412809,0.9852733817959568,0.9840208050297371,11991
translate,0.2,0.9606371445250604,0.9103098131005284,0.9091378956704161,11991
background_noise,20.0,0.9903260778917522,0.987495064198539,0.9868814797565065,11991
background_noise,40.0,0.9904094737719956,0.9875654371753161,0.98702985689633,11991
background_noise,60.0,0.9876574097239597,0.9857458462919384,0.9846249243756797,11991
