corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9900775452347202,0.9934558250880485,0.9911210069553026,11993
rotate,5.0,0.9779037772033686,0.9828673084474859,0.9824032783655883,11993
rotate,10.0,0.9707329275410657,0.9734343757515295,0.971842047097423,11993
rotate,15.0,0.9594763612107062,0.9495817803658424,0.9480717839394533,11993
rotate,20.0,0.940715417326774,0.9148063218557443,0.9030497310628743,11993
thicker,1.0,0.9824064037355124,0.9820441244613548,0.9815784840124138,11993
thicker,2.0,0.9538897690319353,0.926318268918465,0.9268995830312101,11993
thicker,3.0,0.857500208454932,0.7760593763258079,0.7889722987390618,11993
thinner,1.0,0.9709830734595181,0.9536559214314144,0.9640350529932231,11993
thinner,2.0,0.21554239973317768,0.103602319606167,0.131413526087987,11993
thinner,3.0,0.07679479696489619,0.02066083668607378,0.013537971882886163,11993
salt_pepper,0.01,0.9898273993162678,0.9930925875304334,0.9908687173160922,11993
salt_pepper,0.05,0.9847410989744018,0.986300591924839,0.9855899060168012,11993
salt_pepper,0.1,0.976569665638289,0.9784704912896712,0.9782014249268818,11993
salt_pepper,0.2,0.9528891853581256,0.9372899182360458,0.9384470793141491,11993
downscale,0.8,0.987242558158926,0.9880011180972529,0.9873709878989152,11993
downscale,0.6,0.9815725840073376,0.9790997941732954,0.9778029784447696,11993
downscale,0.4,0.9320436921537564,0.8975017198414309,0.9052186146005764,11993
occlusion,0.1,0.9894938714249979,0.9930260975378311,0.9909432835339971,11993
occlusion,0.25,0.96397898774285,0.973728696359997,0.9727428311904216,11993
occlusion,0.4,0.8117235053781372,0.778946072315111,0.7695081370042253,11993
blur,0.5,0.9900775452347202,0.9934558250880485,0.9911210069553026,11993
blur,1.0,0.9833236054365047,0.9844179483391029,0.9838791923332536,11993
blur,1.5,0.951221545901776,0.9233072443474606,0.9242516671691536,11993
contrast,60.0,0.9900775452347202,0.9934558250880485,0.9911210069553026,11993
contrast,120.0,0.9900775452347202,0.9934558250880485,0.9911210069553026,11993
contrast,180.0,0.9900775452347202,0.9934558250880485,0.9911210069553026,11993
translate,0.05,0.9879929959142834,0.9925428672645109,0.9900540262273284,11993
translate,0.1,0.987242558158926,0.987047418112553,0.9860310830979305,11993
translate,0.2,0.9699824897857083,0.9268435186030993,0.9291693024928648,11993
background_noise,20.0,0.9900775452347202,0.9934558250880485,0.9911210069553026,11993
background_noise,40.0,0.9899107812890853,0.9933320663144043,0.9910297563334055,11993
background_noise,60.0,0.9891603435337281,0.9931249891604438,0.9906544795494382,11993
