corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9900758902510216,0.9886203597404196,0.9885155653793155,11991
rotate,5.0,0.9751480276874323,0.9724331874881581,0.9720897000773459,11991
rotate,10.0,0.9663080643816195,0.9588458861107044,0.9569593384509324,11991
rotate,15.0,0.958302059878242,0.9512812054659422,0.9458933797163211,11991
rotate,20.0,0.9231089984154782,0.8599673913711072,0.8563987860508212,11991
thicker,1.0,0.9780668834959553,0.9760620811343031,0.9750891904868855,11991
thicker,2.0,0.9467100325243933,0.9094968517675748,0.908326601923364,11991
thicker,3.0,0.8194479192727879,0.775773423984248,0.7610531085427391,11991
thinner,1.0,0.9679759819864898,0.9536526449003998,0.9553094690824482,11991
thinner,2.0,0.1737970144274873,0.09750888320713381,0.12746761681373234,11991
thinner,3.0,0.07038612292552748,0.018045050603474763,0.00916849791158135,11991
salt_pepper,0.01,0.989825702610291,0.9886685988409777,0.9884931347652071,11991
salt_pepper,0.05,0.9822366775081312,0.9810210401281954,0.9797832055994742,11991
salt_pepper,0.1,0.9688933366691685,0.967476671193362,0.9506743391573054,11991
salt_pepper,0.2,0.9161871403552665,0.8650672296790713,0.8322523190091522,11991
downscale,0.8,0.9863230756400634,0.9833364171143628,0.9836397506909496,11991
downscale,0.6,0.9829038445500792,0.9759661547525725,0.9760202567813617,11991
downscale,0.4,0.9307814193978817,0.8938258630710887,0.8938547847982503,11991
occlusion,0.1,0.9885747644066383,0.9878522709887944,0.9878104812697176,11991
occlusion,0.25,0.9633892085730965,0.9565718429072579,0.9566340263508154,11991
occlusion,0.4,0.8131932282545242,0.755867978783874,0.747620943228086,11991
blur,0.5,0.9900758902510216,0.9886203597404196,0.9885155653793155,11991
blur,1.0,0.9829038445500792,0.9678793475146351,0.9720071042775276,11991
blur,1.5,0.9515469935785172,0.9184046963625566,0.9247549404620284,11991
contrast,60.0,0.9900758902510216,0.9886203597404196,0.9885155653793155,11991
contrast,120.0,0.9900758902510216,0.9886203597404196,0.9885155653793155,11991
contrast,180.0,0.9900758902510216,0.9886203597404196,0.9885155653793155,11991
translate,0.05,0.9885747644066383,0.9851094210521887,0.9836357922929957,11991
translate,0.1,0.9857393044783588,0.9805944860170653,0.9822030595782483,11991
translate,0.2,0.9654741055791843,0.9249692624309594,0.9255713728707275,11991
background_noise,20.0,0.9900758902510216,0.9886203597404196,0.9885155653793155,11991
background_noise,40.0,0.9901592861312651,0.9886391567329008,0.9885548425277861,11991
background_noise,60.0,0.9873238262029855,0.9865395619324553,0.9855518150104867,11991
