corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9897423067300475,0.986516405619494,0.9833862141269581,11991
rotate,5.0,0.9784838628971729,0.9733996788958856,0.9692918460291099,11991
rotate,10.0,0.968476357267951,0.9547561515176028,0.9557453157112056,11991
rotate,15.0,0.952964723542657,0.9282551404898955,0.9175808240786015,11991
rotate,20.0,0.9195229755650071,0.815597164115575,0.8092488248071543,11991
thicker,1.0,0.9820698857476441,0.9678213605147785,0.9640113915374946,11991
thicker,2.0,0.9384538403802852,0.8991940580177314,0.8980990549421188,11991
thicker,3.0,0.7875906930197648,0.7241562586751089,0.7263448505822291,11991
thinner,1.0,0.9544658493870403,0.9395542482506646,0.9365065481949175,11991
thinner,2.0,0.17538153615211408,0.08356149939634232,0.10227831830455959,11991
thinner,3.0,0.06871820532065716,0.01642107528930958,0.006028671671336662,11991
salt_pepper,0.01,0.9892419314485864,0.9862692982217217,0.9831868696737187,11991
salt_pepper,0.05,0.98173630222667,0.9798543633742663,0.9744007891712274,11991
salt_pepper,0.1,0.9704778583937953,0.9595771435955194,0.9506036141856068,11991
salt_pepper,0.2,0.9259444583437578,0.8934837853257964,0.8687578480486524,11991
downscale,0.8,0.9867400550412809,0.9846834806035177,0.9806685873266797,11991
downscale,0.6,0.981569510466183,0.9816821842210229,0.9804605860080311,11991
downscale,0.4,0.9251104995413226,0.9007973843601172,0.8977947955459202,11991
occlusion,0.1,0.9891585355683429,0.9862805389389223,0.9829946542854797,11991
occlusion,0.25,0.9534650988241181,0.9538807138823038,0.9469194106172034,11991
occlusion,0.4,0.8122758735718455,0.7563894303009967,0.7394015913369455,11991
blur,0.5,0.9897423067300475,0.986516405619494,0.9833862141269581,11991
blur,1.0,0.9820698857476441,0.975381876393276,0.9707993999244686,11991
blur,1.5,0.9482945542490201,0.9068644291833793,0.9061744570180842,11991
contrast,60.0,0.9897423067300475,0.986516405619494,0.9833862141269581,11991
contrast,120.0,0.9897423067300475,0.986516405619494,0.9833862141269581,11991
contrast,180.0,0.9897423067300475,0.986516405619494,0.9833862141269581,11991
translate,0.05,0.9875740138437161,0.9861270090357004,0.9837992786871262,11991
translate,0.1,0.9864898674005504,0.9845890409805552,0.9823056035234836,11991
translate,0.2,0.9522141606204654,0.9197996537999765,0.9188233746877695,11991
background_noise,20.0,0.9897423067300475,0.986516405619494,0.9833862141269581,11991
background_noise,40.0,0.989492119089317,0.9862000324949016,0.9829319892320427,11991
background_noise,60.0,0.9859894921190894,0.9835803981667819,0.97777372297903,11991
