corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.989825702610291,0.9869183021629947,0.9841482645410262,11991
rotate,5.0,0.971228421315987,0.9754350862859701,0.973010650292885,11991
rotate,10.0,0.9642231673755316,0.9524823564162205,0.9518631777666895,11991
rotate,15.0,0.947794178967559,0.9165299291198896,0.9034923712403183,11991
rotate,20.0,0.893336669168543,0.8198072265074354,0.7913480556023382,11991
thicker,1.0,0.9823200733883746,0.9801102510499352,0.9785292879362552,11991
thicker,2.0,0.945542490200984,0.9092448636522862,0.8985027586059149,11991
thicker,3.0,0.8210324409974147,0.7211381233142207,0.719668227920759,11991
thinner,1.0,0.9668918355433241,0.956980601284982,0.9534162742983491,11991
thinner,2.0,0.1775498290384455,0.11100438156045343,0.12728700217177266,11991
thinner,3.0,0.06955216412309231,0.019604143051768448,0.01173020818070864,11991
salt_pepper,0.01,0.9890751396880995,0.9863406208283189,0.982620700140869,11991
salt_pepper,0.05,0.9821532816278876,0.9765870208403641,0.9787454609665405,11991
salt_pepper,0.1,0.9742306730047535,0.9562714708753234,0.9516020999705905,11991
salt_pepper,0.2,0.9479609707280461,0.927237704151889,0.8916014945418109,11991
downscale,0.8,0.9867400550412809,0.9847144834335828,0.9826722807701521,11991
downscale,0.6,0.9822366775081312,0.9773811046181385,0.9758426358007075,11991
downscale,0.4,0.9303644399966642,0.908678797548367,0.8883483033551999,11991
occlusion,0.1,0.9882411808856643,0.9858666970049638,0.9834198423202618,11991
occlusion,0.25,0.9570511216745893,0.9462112849333881,0.9412021149626999,11991
occlusion,0.4,0.8047702443499292,0.784664062552437,0.7596403367746885,11991
blur,0.5,0.989825702610291,0.9869183021629947,0.9841482645410262,11991
blur,1.0,0.9818196981069135,0.9727152580528018,0.9704056584664792,11991
blur,1.5,0.9564673505128847,0.9304081683213558,0.9242483577708219,11991
contrast,60.0,0.989825702610291,0.9869183021629947,0.9841482645410262,11991
contrast,120.0,0.989825702610291,0.9869183021629947,0.9841482645410262,11991
contrast,180.0,0.989825702610291,0.9869183021629947,0.9841482645410262,11991
translate,0.05,0.9868234509215245,0.9866731980796994,0.983553959119576,11991
translate,0.1,0.9839045951130014,0.9747515356467702,0.9739137224990454,11991
translate,0.2,0.8891668751563673,0.6400306508228226,0.6405308846919642,11991
background_noise,20.0,0.989825702610291,0.9869183021629947,0.9841482645410262,11991
background_noise,40.0,0.989825702610291,0.9869183021629947,0.9841482645410262,11991
background_noise,60.0,0.9879909932449337,0.9858258106593734,0.985439019886992,11991
