corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.987240430322742,0.9840428269892532,0.9810416403004496,11991
rotate,5.0,0.9784838628971729,0.9758772672523905,0.9767674042541722,11991
rotate,10.0,0.9650571261779668,0.9571884362429683,0.9543200485273325,11991
rotate,15.0,0.9544658493870403,0.9435926552568499,0.9360631441235009,11991
rotate,20.0,0.918689016762572,0.8367419373481063,0.8337802747997058,11991
thicker,1.0,0.9839045951130014,0.9712931829221613,0.9714089210622039,11991
thicker,2.0,0.945042114919523,0.8873894517726038,0.8904467100945558,11991
thicker,3.0,0.8021015761821366,0.6980032579939389,0.7060449623297155,11991
thinner,1.0,0.9493787006921858,0.9296544187085423,0.9396041732395419,11991
thinner,2.0,0.14252355933616878,0.08045884101935538,0.09387652261192404,11991
thinner,3.0,0.04119756484029689,0.018850612290399745,0.008251667815345495,11991
salt_pepper,0.01,0.9856559085981152,0.9832739985001617,0.9802154654358842,11991
salt_pepper,0.05,0.9812359269452089,0.9734645701877641,0.9753871042891792,11991
salt_pepper,0.1,0.9700608789925778,0.9629889682434989,0.963660951726537,11991
salt_pepper,0.2,0.9472104078058544,0.9022839428358345,0.9130074410850202,11991
downscale,0.8,0.9836544074722708,0.9705461002717929,0.9720405058270478,11991
downscale,0.6,0.9780668834959553,0.9716110659099657,0.9745609768421815,11991
downscale,0.4,0.913685263947961,0.895907197543126,0.9009174472712836,11991
occlusion,0.1,0.9866566591610374,0.9837169734643345,0.980761155638606,11991
occlusion,0.25,0.9526311400216829,0.9449269142463933,0.9464478973777027,11991
occlusion,0.4,0.7865899424568427,0.7001929505360867,0.7020715156788111,11991
blur,0.5,0.987240430322742,0.9840428269892532,0.9810416403004496,11991
blur,1.0,0.978984238178634,0.970974021675052,0.9711678205039639,11991
blur,1.5,0.9500458677341339,0.9142928643947889,0.9191138941233423,11991
contrast,60.0,0.987240430322742,0.9840428269892532,0.9810416403004496,11991
contrast,120.0,0.987240430322742,0.9840428269892532,0.9810416403004496,11991
contrast,180.0,0.987240430322742,0.9840428269892532,0.9810416403004496,11991
translate,0.05,0.9845717621549496,0.9832549970458228,0.982038113203758,11991
translate,0.1,0.9853223250771412,0.978036328966272,0.9789729884335553,11991
translate,0.2,0.9626386456509048,0.9097502760762834,0.9064427010677094,11991
background_noise,20.0,0.987240430322742,0.9840428269892532,0.9810416403004496,11991
background_noise,40.0,0.987240430322742,0.9840428269892532,0.9810334892151971,11991
background_noise,60.0,0.9869902426820115,0.9833368133209486,0.9828091370652674,11991
