corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9899924943707781,0.9872264960063156,0.9858470796056898,11991
rotate,5.0,0.9728129430406138,0.9700670966771838,0.9705216718101856,11991
rotate,10.0,0.9648903344174797,0.9593257500903904,0.9557190827517165,11991
rotate,15.0,0.9506296388958385,0.9341602374163697,0.9279727345187869,11991
rotate,20.0,0.8874155616712535,0.8070275277900603,0.8141732336696216,11991
thicker,1.0,0.9825702610291052,0.9773864147489331,0.9781481919815578,11991
thicker,2.0,0.9459594696022017,0.8979875414436103,0.897291259332819,11991
thicker,3.0,0.8197815027937619,0.6917662021902693,0.7149204887212885,11991
thinner,1.0,0.9632224168126094,0.9486276239255232,0.9563126518069455,11991
thinner,2.0,0.14577599866566593,0.07485167472300192,0.09347532571132129,11991
thinner,3.0,0.06638312067383871,0.017083953414566495,0.007127101510837535,11991
salt_pepper,0.01,0.9887415561671253,0.9865378692705008,0.9853529296146925,11991
salt_pepper,0.05,0.9829872404303227,0.9773942770471342,0.9788087796145114,11991
salt_pepper,0.1,0.971228421315987,0.9582644339987136,0.9603190521496087,11991
salt_pepper,0.2,0.9507964306563256,0.8896843243274621,0.8974155566653814,11991
downscale,0.8,0.9871570344424986,0.9823764600850351,0.9829606481456779,11991
downscale,0.6,0.9824034692686181,0.9761833619771668,0.9779080052344329,11991
downscale,0.4,0.931782169960804,0.9154346372729383,0.9111361645245792,11991
occlusion,0.1,0.9889917438078559,0.986603303409439,0.9853891448567408,11991
occlusion,0.25,0.9536318905846051,0.9474833699965495,0.9477201350712875,11991
occlusion,0.4,0.7938453840380285,0.7514608163243074,0.7471086659248724,11991
blur,0.5,0.9899924943707781,0.9872264960063156,0.9858470796056898,11991
blur,1.0,0.9841547827537319,0.9756879257937121,0.9754471230424681,11991
blur,1.5,0.9517137853390043,0.9163211080731569,0.9186076612005903,11991
contrast,60.0,0.9899924943707781,0.9872264960063156,0.9858470796056898,11991
contrast,120.0,0.9899924943707781,0.9872264960063156,0.9858470796056898,11991
contrast,180.0,0.9899924943707781,0.9872264960063156,0.9858470796056898,11991
translate,0.05,0.9879909932449337,0.9867371225268678,0.9861289189394294,11991
translate,0.1,0.983987990993245,0.9831042198096189,0.9831461253861988,11991
translate,0.2,0.9025936118755733,0.7872675501019408,0.7943551368611553,11991
background_noise,20.0,0.9899924943707781,0.9872264960063156,0.9858470796056898,11991
background_noise,40.0,0.9899924943707781,0.9872264960063156,0.9858470796056898,11991
background_noise,60.0,0.9869902426820115,0.9857959498189725,0.9846432850165326,11991
