corruption,severity,top1,balanced_acc,macro_f1,n
clean,0.0,0.9893253273288299,0.9869843128827995,0.9863765489774906,11991
rotate,5.0,0.9776499040947377,0.9760604315287704,0.9772736560689683,11991
rotate,10.0,0.9616378950879827,0.9360168876102212,0.9378740153547022,11991
rotate,15.0,0.9444583437578183,0.912730760777738,0.9088180800017425,11991
rotate,20.0,0.8809940788925027,0.7729500728498301,0.7468664596949299,11991
thicker,1.0,0.9841547827537319,0.9771879827143364,0.9775021369369418,11991
thicker,2.0,0.9486281377699942,0.8909829459271043,0.8890486002181087,11991
thicker,3.0,0.8237845050454508,0.712688094296034,0.7176463275813328,11991
thinner,1.0,0.9592194145609206,0.9150773023094554,0.9297964703435889,11991
thinner,2.0,0.15678425485781003,0.0868476198041911,0.11041485331750928,11991
thinner,3.0,0.06880160120090067,0.017342624791271948,0.0071078121507433395,11991
salt_pepper,0.01,0.9876574097239597,0.9859763491345319,0.9852810536365918,11991
salt_pepper,0.05,0.9814861145859395,0.9725957716273957,0.9744075652921205,11991
salt_pepper,0.1,0.973980485364023,0.9578128820754531,0.9564377378300707,11991
salt_pepper,0.2,0.9465432407639063,0.8944167099919146,0.8938189670738066,11991
downscale,0.8,0.984488366274706,0.9800601142513196,0.9807598769172928,11991
downscale,0.6,0.9781502793761988,0.9702357110345771,0.9719163409996936,11991
downscale,0.4,0.9193561838045201,0.8763197576620745,0.885360007258951,11991
occlusion,0.1,0.9887415561671253,0.9867692814876002,0.9861205312537533,11991
occlusion,0.25,0.9566341422733717,0.944111767300581,0.9455592263198548,11991
occlusion,0.4,0.7995996997748311,0.7577042768647125,0.7480142610031034,11991
blur,0.5,0.9893253273288299,0.9869843128827995,0.9863765489774906,11991
blur,1.0,0.9771495288132767,0.970377431951176,0.9707113790903316,11991
blur,1.5,0.950212659494621,0.9108433944384771,0.9163347038929175,11991
contrast,60.0,0.9893253273288299,0.9869843128827995,0.9863765489774906,11991
contrast,120.0,0.9893253273288299,0.9869843128827995,0.9863765489774906,11991
contrast,180.0,0.9893253273288299,0.9869843128827995,0.9863765489774906,11991
translate,0.05,0.9866566591610374,0.9860991594133728,0.9852200277434938,11991
translate,0.1,0.9859894921190894,0.975005469242955,0.9769327781498964,11991
translate,0.2,0.9577182887165374,0.9050710797284778,0.9061531442181692,11991
background_noise,20.0,0.9893253273288299,0.9869843128827995,0.9863765489774906,11991
background_noise,40.0,0.9891585355683429,0.986946718897837,0.9862972927747352,11991
background_noise,60.0,0.9858227003586023,0.9851264107959249,0.9843268202373961,11991
