model,transform,true_char,maps_to_char,maps_to_self,rate,mean_conf
thaichar72_r18_64_gen,rot180,ก,ย,False,0.5,0.31780120730400085
thaichar72_r18_64_gen,rot180,ข,อ,False,0.375,0.25510865449905396
thaichar72_r18_64_gen,rot180,ค,ย,False,0.5,0.662713885307312
thaichar72_r18_64_gen,rot180,ง,ถ,False,0.5,0.30887264013290405
thaichar72_r18_64_gen,rot180,จ,เ,False,0.625,0.16926491260528564
thaichar72_r18_64_gen,rot180,ฉ,ย,False,0.875,0.3646990656852722
thaichar72_r18_64_gen,rot180,ช,น,False,0.875,0.4751127362251282
thaichar72_r18_64_gen,rot180,ซ,น,False,0.5,0.3420814871788025
thaichar72_r18_64_gen,rot180,ญ,ย,False,0.875,0.22462531924247742
thaichar72_r18_64_gen,rot180,ฏ,ย,False,0.3333333333333333,0.2082267850637436
thaichar72_r18_64_gen,rot180,ฐ,๒,False,0.875,0.2004648596048355
thaichar72_r18_64_gen,rot180,ฒ,ฒ,True,0.375,0.19568464159965515
thaichar72_r18_64_gen,rot180,ณ,ย,False,0.75,0.38164058327674866
thaichar72_r18_64_gen,rot180,ด,ย,False,0.5,0.28168484568595886
thaichar72_r18_64_gen,rot180,ต,ย,False,0.375,0.2370917648077011
thaichar72_r18_64_gen,rot180,ถ,ย,False,0.875,0.2902132570743561
thaichar72_r18_64_gen,rot180,ท,แ,False,0.75,0.673328697681427
thaichar72_r18_64_gen,rot180,ธ,เ,False,0.375,0.3407752215862274
thaichar72_r18_64_gen,rot180,น,ท,False,0.5,0.45716458559036255
thaichar72_r18_64_gen,rot180,บ,แ,False,0.375,0.21203288435935974
thaichar72_r18_64_gen,rot180,ป,น,False,0.625,0.37872326374053955
thaichar72_r18_64_gen,rot180,ผ,๖,False,0.5,0.25583434104919434
thaichar72_r18_64_gen,rot180,ฝ,ไ,False,0.75,0.3282250761985779
thaichar72_r18_64_gen,rot180,พ,น,False,0.625,0.6927667856216431
thaichar72_r18_64_gen,rot180,ฟ,น,False,0.5,0.34457287192344666
thaichar72_r18_64_gen,rot180,ภ,ษ,False,0.375,0.13721030950546265
thaichar72_r18_64_gen,rot180,ม,น,False,0.25,0.20921912789344788
thaichar72_r18_64_gen,rot180,ย,อ,False,0.375,0.5104053020477295
thaichar72_r18_64_gen,rot180,ร,ย,False,0.5,0.29817914962768555
thaichar72_r18_64_gen,rot180,ฤ,ษ,False,0.6666666666666666,0.28552940487861633
thaichar72_r18_64_gen,rot180,ล,ย,False,0.5,0.23932218551635742
thaichar72_r18_64_gen,rot180,ว,ย,False,1.0,0.8721792697906494
thaichar72_r18_64_gen,rot180,ศ,ย,False,0.75,0.4287858009338379
thaichar72_r18_64_gen,rot180,ษ,ส,False,0.625,0.44942089915275574
thaichar72_r18_64_gen,rot180,ส,๒,False,0.5,0.27558207511901855
thaichar72_r18_64_gen,rot180,ห,แ,False,0.5,0.5248602628707886
thaichar72_r18_64_gen,rot180,ฬ,ย,False,1.0,0.16048568487167358
thaichar72_r18_64_gen,rot180,อ,อ,True,0.625,0.3271445035934448
thaichar72_r18_64_gen,rot180,ฮ,ด,False,1.0,0.2636183500289917
thaichar72_r18_64_gen,rot180,ฯ,น,False,0.5,0.30178168416023254
thaichar72_r18_64_gen,rot180,ั,ิ,False,0.875,0.7727397680282593
thaichar72_r18_64_gen,rot180,า,่,False,0.5,0.7229165434837341
thaichar72_r18_64_gen,rot180,ิ,ั,False,1.0,0.855103611946106
thaichar72_r18_64_gen,rot180,ี,ร,False,0.375,0.34088143706321716
thaichar72_r18_64_gen,rot180,ึ,้,False,0.6666666666666666,0.4076051712036133
thaichar72_r18_64_gen,rot180,ื,ธ,False,0.25,0.3985934853553772
thaichar72_r18_64_gen,rot180,ุ,ั,False,0.5,0.5439698696136475
thaichar72_r18_64_gen,rot180,ู,ก,False,0.25,0.2543010711669922
thaichar72_r18_64_gen,rot180,เ,า,False,0.5,0.7078618407249451
thaichar72_r18_64_gen,rot180,แ,ท,False,0.75,0.6330438852310181
thaichar72_r18_64_gen,rot180,โ,ใ,False,0.75,0.555858850479126
thaichar72_r18_64_gen,rot180,ใ,ใ,True,0.75,0.4825035631656647
thaichar72_r18_64_gen,rot180,ไ,ใ,False,0.5,0.44696784019470215
thaichar72_r18_64_gen,rot180,ๅ,่,False,0.875,0.8980527520179749
thaichar72_r18_64_gen,rot180,ๆ,เ,False,0.75,0.6875787973403931
