model,family,condition,severity,n,n_rejected,mean_max_prob,top1,balanced_acc,confident_wrong@0.5,confident_wrong@0.7,confident_wrong@0.9,separability_auroc
thaichar72_r18_64_gen,clean,clean,0.0,492,1,0.9023728966712952,0.9857723577235772,0.9875,,,,
thaichar72_r18_64_gen_v3labels,clean,clean,0.0,492,1,0.9014437198638916,0.9817073170731707,0.9828571428571428,,,,
thaichar72_resnet18_64,clean,clean,0.0,492,1,0.9078220129013062,0.9776422764227642,0.9803571428571428,,,,
thaichar72_resnet18_64_v1labels,clean,clean,0.0,492,1,0.907145082950592,0.9695121951219512,0.9732142857142857,,,,
thaichar72_mnv3small_64_small,clean,clean,0.0,492,1,0.9014734029769897,0.9634146341463414,0.9678571428571429,,,,
thaichar72_r18_64_gen,A,jpeg,40.0,492,1,0.9023733735084534,0.9857723577235772,0.9875,,,,
thaichar72_r18_64_gen_v3labels,A,jpeg,40.0,492,1,0.9014411568641663,0.9817073170731707,0.9828571428571428,,,,
thaichar72_resnet18_64,A,jpeg,40.0,492,1,0.9078170657157898,0.9776422764227642,0.9803571428571428,,,,
thaichar72_resnet18_64_v1labels,A,jpeg,40.0,492,1,0.9071542620658875,0.9695121951219512,0.9732142857142857,,,,
thaichar72_mnv3small_64_small,A,jpeg,40.0,492,1,0.9014739990234375,0.9634146341463414,0.9678571428571429,,,,
thaichar72_r18_64_gen,A,jpeg,20.0,492,1,0.902925431728363,0.983739837398374,0.9857142857142858,,,,
thaichar72_r18_64_gen_v3labels,A,jpeg,20.0,492,1,0.9026065468788147,0.983739837398374,0.9857142857142858,,,,
thaichar72_resnet18_64,A,jpeg,20.0,492,1,0.9084827303886414,0.9796747967479674,0.9821428571428571,,,,
thaichar72_resnet18_64_v1labels,A,jpeg,20.0,492,1,0.9078111052513123,0.9695121951219512,0.9732142857142857,,,,
thaichar72_mnv3small_64_small,A,jpeg,20.0,492,1,0.9017054438591003,0.967479674796748,0.9714285714285714,,,,
thaichar72_r18_64_gen,A,jpeg,10.0,492,1,0.9025240540504456,0.9817073170731707,0.9839285714285714,,,,
thaichar72_r18_64_gen_v3labels,A,jpeg,10.0,492,1,0.9008662700653076,0.9817073170731707,0.9839285714285714,,,,
thaichar72_resnet18_64,A,jpeg,10.0,492,1,0.907616913318634,0.975609756097561,0.9785714285714285,,,,
thaichar72_resnet18_64_v1labels,A,jpeg,10.0,492,1,0.9067318439483643,0.9654471544715447,0.9696428571428571,,,,
thaichar72_mnv3small_64_small,A,jpeg,10.0,492,1,0.9013077616691589,0.9695121951219512,0.9732142857142857,,,,
thaichar72_r18_64_gen,A,jpeg,5.0,492,1,0.9020829200744629,0.9857723577235772,0.9875,,,,
thaichar72_r18_64_gen_v3labels,A,jpeg,5.0,492,1,0.9013330936431885,0.9796747967479674,0.9810714285714285,,,,
thaichar72_resnet18_64,A,jpeg,5.0,492,1,0.9073662161827087,0.9817073170731707,0.9839285714285714,,,,
thaichar72_resnet18_64_v1labels,A,jpeg,5.0,492,1,0.9071176648139954,0.9613821138211383,0.9660714285714286,,,,
thaichar72_mnv3small_64_small,A,jpeg,5.0,492,1,0.9001650810241699,0.9654471544715447,0.9678571428571429,,,,
thaichar72_r18_64_gen,A,pixelate,0.5,492,1,0.8699721693992615,0.9166666666666666,0.916309523809524,,,,
thaichar72_r18_64_gen_v3labels,A,pixelate,0.5,492,1,0.8682848811149597,0.9044715447154471,0.9045238095238096,,,,
thaichar72_resnet18_64,A,pixelate,0.5,492,1,0.8782446980476379,0.8882113821138211,0.8905952380952381,,,,
thaichar72_resnet18_64_v1labels,A,pixelate,0.5,492,1,0.8700121641159058,0.8821138211382114,0.88,,,,
thaichar72_mnv3small_64_small,A,pixelate,0.5,492,1,0.8757930994033813,0.8882113821138211,0.8903401360544217,,,,
thaichar72_r18_64_gen,A,pixelate,0.35,492,1,0.794224202632904,0.6829268292682927,0.6726190476190477,,,,
thaichar72_r18_64_gen_v3labels,A,pixelate,0.35,492,1,0.7905516624450684,0.6585365853658537,0.6328571428571428,,,,
thaichar72_resnet18_64,A,pixelate,0.35,492,1,0.7952624559402466,0.6747967479674797,0.6772619047619048,,,,
thaichar72_resnet18_64_v1labels,A,pixelate,0.35,492,1,0.7818869352340698,0.6747967479674797,0.6778571428571428,,,,
thaichar72_mnv3small_64_small,A,pixelate,0.35,492,1,0.8139234185218811,0.6890243902439024,0.6828571428571428,,,,
thaichar72_r18_64_gen,A,pixelate,0.25,492,1,0.7318071126937866,0.4166666666666667,0.3938095238095238,,,,
thaichar72_r18_64_gen_v3labels,A,pixelate,0.25,492,1,0.725727915763855,0.3983739837398374,0.38071428571428567,,,,
thaichar72_resnet18_64,A,pixelate,0.25,492,1,0.7289517521858215,0.4105691056910569,0.3860714285714285,,,,
thaichar72_resnet18_64_v1labels,A,pixelate,0.25,492,1,0.7101620435714722,0.40853658536585363,0.39976190476190465,,,,
thaichar72_mnv3small_64_small,A,pixelate,0.25,492,1,0.768868625164032,0.42886178861788615,0.414047619047619,,,,
thaichar72_r18_64_gen,A,pixelate,0.15,492,1,0.7439152002334595,0.09552845528455285,0.09523809523809523,,,,
thaichar72_r18_64_gen_v3labels,A,pixelate,0.15,492,1,0.7411906123161316,0.09146341463414634,0.08571428571428572,,,,
thaichar72_resnet18_64,A,pixelate,0.15,492,1,0.700980007648468,0.10365853658536585,0.09880952380952382,,,,
thaichar72_resnet18_64_v1labels,A,pixelate,0.15,492,1,0.6895869374275208,0.09146341463414634,0.09107142857142857,,,,
thaichar72_mnv3small_64_small,A,pixelate,0.15,492,1,0.7262617945671082,0.09552845528455285,0.09047619047619047,,,,
thaichar72_r18_64_gen,A,motion_blur,3.0,493,0,0.9009119868278503,0.9837728194726166,0.9857142857142858,,,,
thaichar72_r18_64_gen_v3labels,A,motion_blur,3.0,493,0,0.8995309472084045,0.9817444219066938,0.9828571428571428,,,,
thaichar72_resnet18_64,A,motion_blur,3.0,493,0,0.902226984500885,0.9837728194726166,0.9857142857142858,,,,
thaichar72_resnet18_64_v1labels,A,motion_blur,3.0,493,0,0.9039620161056519,0.973630831643002,0.9767857142857143,,,,
thaichar72_mnv3small_64_small,A,motion_blur,3.0,493,0,0.8964982032775879,0.9837728194726166,0.9857142857142858,,,,
thaichar72_r18_64_gen,A,motion_blur,5.0,493,0,0.8726935982704163,0.9330628803245437,0.9264285714285714,,,,
thaichar72_r18_64_gen_v3labels,A,motion_blur,5.0,493,0,0.8682522773742676,0.9411764705882353,0.9335714285714285,,,,
thaichar72_resnet18_64,A,motion_blur,5.0,493,0,0.8663255572319031,0.9188640973630832,0.9246428571428571,,,,
thaichar72_resnet18_64_v1labels,A,motion_blur,5.0,493,0,0.8680357933044434,0.9371196754563894,0.9424999999999999,,,,
thaichar72_mnv3small_64_small,A,motion_blur,5.0,493,0,0.8677079677581787,0.9371196754563894,0.9299999999999999,,,,
thaichar72_r18_64_gen,A,motion_blur,7.0,493,0,0.8095333576202393,0.8194726166328601,0.8132142857142857,,,,
thaichar72_r18_64_gen_v3labels,A,motion_blur,7.0,493,0,0.8083884119987488,0.8174442190669371,0.812142857142857,,,,
thaichar72_resnet18_64,A,motion_blur,7.0,493,0,0.7711518406867981,0.8113590263691683,0.8042857142857143,,,,
thaichar72_resnet18_64_v1labels,A,motion_blur,7.0,493,0,0.7799991965293884,0.8093306288032455,0.8025,,,,
thaichar72_mnv3small_64_small,A,motion_blur,7.0,493,0,0.7923487424850464,0.8154158215010142,0.8013095238095237,,,,
thaichar72_r18_64_gen,A,motion_blur,9.0,493,0,0.7230165004730225,0.640973630831643,0.6259523809523809,,,,
thaichar72_r18_64_gen_v3labels,A,motion_blur,9.0,493,0,0.7128843069076538,0.6450304259634888,0.6295238095238095,,,,
thaichar72_resnet18_64,A,motion_blur,9.0,493,0,0.6725444793701172,0.6572008113590264,0.6335714285714285,,,,
thaichar72_resnet18_64_v1labels,A,motion_blur,9.0,493,0,0.6675031185150146,0.6166328600405679,0.588452380952381,,,,
thaichar72_mnv3small_64_small,A,motion_blur,9.0,493,0,0.7009738087654114,0.640973630831643,0.6022619047619047,,,,
thaichar72_r18_64_gen,A,rotate_hard,30.0,493,0,0.4743780493736267,0.5192697768762677,0.520952380952381,,,,
thaichar72_r18_64_gen_v3labels,A,rotate_hard,30.0,493,0,0.48590052127838135,0.5476673427991886,0.5289285714285714,,,,
thaichar72_resnet18_64,A,rotate_hard,30.0,493,0,0.4442749619483948,0.4746450304259635,0.4485714285714286,,,,
thaichar72_resnet18_64_v1labels,A,rotate_hard,30.0,493,0,0.4731641113758087,0.33468559837728196,0.314047619047619,,,,
thaichar72_mnv3small_64_small,A,rotate_hard,30.0,493,0,0.472289115190506,0.30425963488843816,0.2708333333333333,,,,
thaichar72_r18_64_gen,A,rotate_hard,45.0,493,0,0.3475208580493927,0.0973630831643002,0.09107142857142857,,,,
thaichar72_r18_64_gen_v3labels,A,rotate_hard,45.0,493,0,0.3414415717124939,0.0872210953346856,0.07678571428571429,,,,
thaichar72_resnet18_64,A,rotate_hard,45.0,493,0,0.33947816491127014,0.11156186612576065,0.09821428571428571,,,,
thaichar72_resnet18_64_v1labels,A,rotate_hard,45.0,493,0,0.4673651158809662,0.07099391480730223,0.0625,,,,
thaichar72_mnv3small_64_small,A,rotate_hard,45.0,493,0,0.38695403933525085,0.08316430020283976,0.07321428571428572,,,,
thaichar72_r18_64_gen,A,rotate_hard,60.0,493,0,0.38902565836906433,0.04259634888438134,0.0375,,,,
thaichar72_r18_64_gen_v3labels,A,rotate_hard,60.0,493,0,0.39643508195877075,0.038539553752535496,0.033928571428571426,,,,
thaichar72_resnet18_64,A,rotate_hard,60.0,493,0,0.38340577483177185,0.038539553752535496,0.033928571428571426,,,,
thaichar72_resnet18_64_v1labels,A,rotate_hard,60.0,493,0,0.4945509433746338,0.038539553752535496,0.033928571428571426,,,,
thaichar72_mnv3small_64_small,A,rotate_hard,60.0,493,0,0.3904910981655121,0.030425963488843813,0.026785714285714284,,,,
thaichar72_r18_64_gen,A,rotate_hard,90.0,493,0,0.4640474319458008,0.032454361054766734,0.02857142857142857,,,,
thaichar72_r18_64_gen_v3labels,A,rotate_hard,90.0,493,0,0.4878619909286499,0.032454361054766734,0.02857142857142857,,,,
thaichar72_resnet18_64,A,rotate_hard,90.0,493,0,0.415038138628006,0.030425963488843813,0.026785714285714284,,,,
thaichar72_resnet18_64_v1labels,A,rotate_hard,90.0,493,0,0.4463872015476227,0.030425963488843813,0.026785714285714284,,,,
thaichar72_mnv3small_64_small,A,rotate_hard,90.0,493,0,0.43174752593040466,0.030425963488843813,0.026785714285714284,,,,
thaichar72_r18_64_gen,A,stroke_extreme,-5.0,197,296,0.611375629901886,0.1116751269035533,0.12142857142857143,,,,
thaichar72_r18_64_gen_v3labels,A,stroke_extreme,-5.0,197,296,0.5963000655174255,0.1218274111675127,0.12142857142857143,,,,
thaichar72_resnet18_64,A,stroke_extreme,-5.0,197,296,0.6204660534858704,0.09137055837563451,0.10897435897435898,,,,
thaichar72_resnet18_64_v1labels,A,stroke_extreme,-5.0,197,296,0.6868066787719727,0.09644670050761421,0.09065934065934066,,,,
thaichar72_mnv3small_64_small,A,stroke_extreme,-5.0,197,296,0.6221122741699219,0.08121827411167512,0.09025641025641025,,,,
thaichar72_r18_64_gen,A,stroke_extreme,-4.0,328,165,0.5632282495498657,0.25,0.2157312925170068,,,,
thaichar72_r18_64_gen_v3labels,A,stroke_extreme,-4.0,328,165,0.5608742833137512,0.25,0.21789115646258503,,,,
thaichar72_resnet18_64,A,stroke_extreme,-4.0,328,165,0.5462479591369629,0.20426829268292682,0.17758503401360543,,,,
thaichar72_resnet18_64_v1labels,A,stroke_extreme,-4.0,328,165,0.607441782951355,0.18902439024390244,0.1731122448979592,,,,
thaichar72_mnv3small_64_small,A,stroke_extreme,-4.0,328,165,0.5785034894943237,0.20426829268292682,0.16801020408163264,,,,
thaichar72_r18_64_gen,A,stroke_extreme,4.0,493,0,0.8776010274887085,0.9452332657200812,0.9413095238095238,,,,
thaichar72_r18_64_gen_v3labels,A,stroke_extreme,4.0,493,0,0.8761923313140869,0.9533468559837728,0.9466666666666667,,,,
thaichar72_resnet18_64,A,stroke_extreme,4.0,493,0,0.8650223016738892,0.9391480730223124,0.9377380952380953,,,,
thaichar72_resnet18_64_v1labels,A,stroke_extreme,4.0,493,0,0.8639748096466064,0.9371196754563894,0.9295238095238096,,,,
thaichar72_mnv3small_64_small,A,stroke_extreme,4.0,493,0,0.8550701141357422,0.9330628803245437,0.9265476190476191,,,,
thaichar72_r18_64_gen,A,stroke_extreme,5.0,493,0,0.8581114411354065,0.9188640973630832,0.9141666666666667,,,,
thaichar72_r18_64_gen_v3labels,A,stroke_extreme,5.0,493,0,0.8571206331253052,0.9269776876267748,0.9223809523809523,,,,
thaichar72_resnet18_64,A,stroke_extreme,5.0,493,0,0.8339489698410034,0.8985801217038539,0.8896428571428571,,,,
thaichar72_resnet18_64_v1labels,A,stroke_extreme,5.0,493,0,0.8362196087837219,0.8843813387423936,0.880357142857143,,,,
thaichar72_mnv3small_64_small,A,stroke_extreme,5.0,493,0,0.8249170184135437,0.8600405679513184,0.8519047619047619,,,,
thaichar72_r18_64_gen,A,resolution_up,2.0,492,1,0.8989908695220947,0.983739837398374,0.9857142857142858,,,,
thaichar72_r18_64_gen_v3labels,A,resolution_up,2.0,492,1,0.8976758122444153,0.9817073170731707,0.9839285714285714,,,,
thaichar72_resnet18_64,A,resolution_up,2.0,492,1,0.9055821895599365,0.9735772357723578,0.9767857142857143,,,,
thaichar72_resnet18_64_v1labels,A,resolution_up,2.0,492,1,0.902656614780426,0.9735772357723578,0.9767857142857143,,,,
thaichar72_mnv3small_64_small,A,resolution_up,2.0,492,1,0.9008315205574036,0.9552845528455285,0.9607142857142857,,,,
thaichar72_r18_64_gen,A,resolution_up,4.0,492,1,0.885277271270752,0.9634146341463414,0.9673469387755104,,,,
thaichar72_r18_64_gen_v3labels,A,resolution_up,4.0,492,1,0.8845363855361938,0.9634146341463414,0.9676020408163266,,,,
thaichar72_resnet18_64,A,resolution_up,4.0,492,1,0.8919207453727722,0.967479674796748,0.9711734693877552,,,,
thaichar72_resnet18_64_v1labels,A,resolution_up,4.0,492,1,0.8904730081558228,0.9552845528455285,0.9584183673469389,,,,
thaichar72_mnv3small_64_small,A,resolution_up,4.0,492,1,0.9003415107727051,0.9654471544715447,0.9696428571428571,,,,
thaichar72_r18_64_gen,A,resolution_up,8.0,492,1,0.8854475617408752,0.9613821138211383,0.9653061224489795,,,,
thaichar72_r18_64_gen_v3labels,A,resolution_up,8.0,492,1,0.8847932815551758,0.959349593495935,0.9637755102040817,,,,
thaichar72_resnet18_64,A,resolution_up,8.0,492,1,0.8881664872169495,0.9654471544715447,0.9693877551020409,,,,
thaichar72_resnet18_64_v1labels,A,resolution_up,8.0,492,1,0.8873157501220703,0.9532520325203252,0.9551020408163265,,,,
thaichar72_mnv3small_64_small,A,resolution_up,8.0,492,1,0.9011176228523254,0.967479674796748,0.9714285714285714,,,,
thaichar72_r18_64_gen,A,aspect_stretch,0.7,492,1,0.8746268153190613,0.9390243902439024,0.9423809523809524,,,,
thaichar72_r18_64_gen_v3labels,A,aspect_stretch,0.7,492,1,0.8633913993835449,0.9288617886178862,0.9294047619047617,,,,
thaichar72_resnet18_64,A,aspect_stretch,0.7,492,1,0.8541247844696045,0.926829268292683,0.9263095238095238,,,,
thaichar72_resnet18_64_v1labels,A,aspect_stretch,0.7,492,1,0.8564920425415039,0.9349593495934959,0.9345238095238096,,,,
thaichar72_mnv3small_64_small,A,aspect_stretch,0.7,492,1,0.852508544921875,0.9186991869918699,0.9170238095238095,,,,
thaichar72_r18_64_gen,A,aspect_stretch,0.85,492,1,0.8960796594619751,0.9634146341463414,0.9667857142857142,,,,
thaichar72_r18_64_gen_v3labels,A,aspect_stretch,0.85,492,1,0.8930818438529968,0.9654471544715447,0.9674999999999999,,,,
thaichar72_resnet18_64,A,aspect_stretch,0.85,492,1,0.8940714001655579,0.9634146341463414,0.9678571428571429,,,,
thaichar72_resnet18_64_v1labels,A,aspect_stretch,0.85,492,1,0.8984978199005127,0.9634146341463414,0.9660714285714286,,,,
thaichar72_mnv3small_64_small,A,aspect_stretch,0.85,492,1,0.8936535120010376,0.9654471544715447,0.9696428571428571,,,,
thaichar72_r18_64_gen,A,aspect_stretch,1.2,492,1,0.8972830176353455,0.9776422764227642,0.9782142857142856,,,,
thaichar72_r18_64_gen_v3labels,A,aspect_stretch,1.2,492,1,0.8975839614868164,0.975609756097561,0.9764285714285713,,,,
thaichar72_resnet18_64,A,aspect_stretch,1.2,492,1,0.9049482941627502,0.975609756097561,0.9785714285714285,,,,
